timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644841382, ,3.5,2.7999999523,3.0999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,3.5,3.5999999046,3.5,3.2000000477,3.2999999523
1644841383, ,3.5,2.7999999523,3.0999999046,3.2999999523,3.2999999523,3.5,4.0999999046,0,3.5,3.5999999046,3.5,3.2000000477,3.2999999523
1644841384, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.5,4.0999999046,0,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.2999999523
1644841385, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.5,0,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.2999999523
1644841386, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.5,0,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.2999999523
1644841387, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.5,0,3.2999999523,3.4000000954,3.2999999523,3,3.4000000954
1644841388, ,3.2999999523,3.7999999523,3.0999999046,3.5,3.2999999523,3.5,3.2999999523,0,3.2999999523,3.4000000954,3.2999999523,3,3.4000000954
1644841389, ,3.2999999523,3.7999999523,3.0999999046,3.5,3.2999999523,3.5,3.2999999523,0,3.2999999523,3.4000000954,3.2999999523,3,3.4000000954
1644841390, ,3.2999999523,3.7999999523,3.0999999046,3.5,3.2999999523,3.5,3.2999999523,0,3.5,3.5999999046,3.5,2.9000000954,3.2999999523
1644841391, ,3.4000000954,3.7999999523,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,0,3.5,3.5999999046,3.5,2.9000000954,3.2999999523
1644841392, ,3.4000000954,3.7999999523,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,0,3.5,3.5999999046,3.5,2.9000000954,3.2999999523
1644841393, ,3.4000000954,3.7999999523,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,0,3.2999999523,3.7000000477,3.5,2.9000000954,3.5
1644841394, ,3.2000000477,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.4000000954,3.2999999523,0,3.2999999523,3.7000000477,3.5,2.9000000954,3.5
1644841395, ,3.2000000477,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.5,0,3.2999999523,3.7000000477,3.5,2.9000000954,3.5
1644841396, ,3.2000000477,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.5,0,3.4000000954,3.5999999046,3.2999999523,3,3.5
1644841397, ,3.4000000954,3,3.0999999046,3.5,3.4000000954,3.2999999523,3.5,0,3.4000000954,3.5999999046,3.2999999523,3,3.5
1644841398, ,3.4000000954,3,3.0999999046,3.5,3.4000000954,3.5999999046,3.2999999523,0,3.4000000954,3.5999999046,3.2999999523,3,3.5
