timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644685210, ,2.9000000954,3.5,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3
1644685211, ,2.9000000954,3.5,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,0,3.2999999523,3.7999999523,3.4000000954,2.9000000954,3
1644685212, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,0,3.2999999523,3.7999999523,3.5,2.9000000954,3
1644685213, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,0,3.2000000477,3.4000000954,3.5,2.9000000954,3
1644685214, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,0,3.2000000477,3.4000000954,3.5,2.9000000954,3
1644685215, ,3.0999999046,3.5,2.7999999523,3.2999999523,3.2999999523,3.5,3.2999999523,0,3.2000000477,3.4000000954,3.2999999523,3,3.5
1644685216, ,3.0999999046,3.5,2.7999999523,3.2999999523,3.2999999523,3.5,3.2999999523,0,3.2000000477,3.4000000954,3.2999999523,3,3.5
1644685217, ,3,3.4000000954,2.7999999523,3.2999999523,3.2999999523,3.4000000954,3.2000000477,0,3.5,3.2999999523,3.5,2.9000000954,3.2999999523
1644685218, ,3,3.4000000954,2.7999999523,3.2999999523,3.2999999523,3.4000000954,3.2000000477,0,3.5,3.2999999523,3.5,2.9000000954,3.2999999523
1644685219, ,3,3.4000000954,2.7999999523,3.2999999523,3.2999999523,3.4000000954,3.2000000477,0,3.2000000477,3.9000000954,3.5,2.9000000954,3.2999999523
1644685220, ,2.9000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,0,3.2000000477,3.9000000954,3.5,2.9000000954,3.5
1644685221, ,2.9000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,0,3.2000000477,3.9000000954,3.5,2.9000000954,3.5
1644685222, ,2.9000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,0,3.2000000477,3.9000000954,3.5,2.9000000954,3.5
1644685223, ,3.0999999046,3.4000000954,3.0999999046,3.2999999523,3.2999999523,3.5,3.5,0,3.2000000477,3.5,3.2999999523,3,3.5999999046
1644685224, ,3.0999999046,3.4000000954,3.0999999046,3.2999999523,3.2999999523,3.5,3.5,0,3.2000000477,3.5,3.2999999523,3,3.5999999046
1644685225, ,3.0999999046,3.4000000954,3.0999999046,3.2999999523,3.2999999523,3.5,3.5,0,3.2000000477,3.5,3.2999999523,3,3.5999999046
1644685226, ,3.0999999046,3.2999999523,2.9000000954,3.2000000477,3.2999999523,3.2999999523,3.2999999523,0,3.4000000954,3.2000000477,3.5,2.9000000954,3.5
1644685227, ,3.0999999046,3.2999999523,2.9000000954,3.2000000477,3.2999999523,3.2999999523,3.2999999523,0,3.4000000954,3.2000000477,3.5,2.9000000954,3.5
1644685228, ,3.0999999046,3.2999999523,2.9000000954,3.2000000477,3.2999999523,3.2999999523,3.2999999523,0,3.4000000954,3.2000000477,3.5,2.9000000954,3.5
1644685229, ,3.0999999046,3.2999999523,2.9000000954,3.2000000477,3.2999999523,3.2999999523,3.2999999523,0,3.2000000477,3.4000000954,3.2999999523,2.9000000954,3
1644685230, ,2.9000000954,3.2999999523,3.2000000477,3.2999999523,3.5,3.5,3.5,0,3.2000000477,3.4000000954,3.2999999523,2.9000000954,3
1644685231, ,2.9000000954,3.2999999523,3.2000000477,3.2999999523,3.5,3.5,3.5,0,3.2000000477,3.4000000954,3.2999999523,2.9000000954,3
1644685232, ,2.9000000954,3.2999999523,3.2000000477,3.2999999523,3.5,3.5,3.5,0,3.2999999523,3.4000000954,3.2999999523,3,3
1644685233, ,3.2000000477,3.5999999046,3,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,3.2999999523,3.4000000954,3.2999999523,3,3
1644685234, ,3.2000000477,3.5999999046,3,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,3.2999999523,3.4000000954,3.2999999523,3,3
1644685235, ,3.2000000477,3.5999999046,3,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,3.4000000954,3.5,3.4000000954,3,3
1644685236, ,3,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.2999999523,0,3.4000000954,3.5,3.4000000954,2.9000000954,3
1644685237, ,3,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.2999999523,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3
1644685238, ,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.5,3.4000000954,3.5,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.2000000477
1644685239, ,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.5,3.4000000954,3.5,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.2000000477
1644685240, ,3.4000000954,3.2999999523,3.2000000477,3.4000000954,3.5,3.4000000954,3.5,0,3.0999999046,3.5,3.2999999523,2.9000000954,3.2000000477
1644685241, ,3.5,3.5,3.0999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,0,3.0999999046,3.5,3.2999999523,2.9000000954,3.2000000477
1644685242, ,3.5,3.5,3.0999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,0,3.0999999046,3.5,3.2999999523,3,3.5999999046
1644685243, ,3.2999999523,3.5,3.0999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.5999999046
1644685244, ,3.2999999523,3.5,3.0999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.5999999046
1644685245, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.4000000954,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.5999999046
1644685246, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.4000000954,0,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.5999999046
1644685247, ,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.4000000954,0,3.4000000954,3.4000000954,3.5,2.9000000954,3.5999999046
