timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644586042, ,3.0999999046,3.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.2999999523,3,3.7000000477
1644586043, ,3.0999999046,3.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.5,2.9000000954,3.2999999523
1644586044, ,3.0999999046,3.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.5,2.9000000954,3.2999999523
1644586045, ,3,3.5,3.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5,3.4000000954,3.5999999046,3.2999999523,3,3.4000000954
1644586046, ,3,3.5,3.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5,3.4000000954,3.5999999046,3.2999999523,3,3.4000000954
1644586047, ,3,3.5,3.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5,3.4000000954,3.5999999046,3.2999999523,3,3.4000000954
1644586048, ,3,3.2999999523,3.2999999523,3.2000000477,3.2999999523,3.5999999046,3.5,3.2999999523,3.5999999046,3.2999999523,3,3.4000000954
1644586049, ,3,3.2999999523,3.2999999523,3.2000000477,3.2999999523,3.5999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3,3.5
1644586050, ,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3,3.5
1644586051, ,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3,3.5
1644586052, ,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.5,3.4000000954,3.4000000954,2.9000000954,3.4000000954
1644586053, ,3.0999999046,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.5,3.4000000954,3.4000000954,2.9000000954,3.4000000954
1644586054, ,3,3.5,3,3.2000000477,3.2999999523,3.4000000954,3.2000000477,3.5,3.4000000954,3.4000000954,2.9000000954,3.4000000954
1644586055, ,3,3.5,3,3.2000000477,3.2999999523,3.4000000954,3.0999999046,3.4000000954,3.5999999046,3.4000000954,3,3.9000000954
1644586056, ,3.0999999046,3.2000000477,3.2000000477,3.2000000477,3.2999999523,3.4000000954,3.0999999046,3.4000000954,3.5999999046,3.4000000954,3,3.9000000954
1644586057, ,3.0999999046,3.2000000477,3.2000000477,3.2000000477,3.2999999523,3.4000000954,3.0999999046,3.4000000954,3.5999999046,3.4000000954,3,3.9000000954
1644586058, ,3.0999999046,3.2000000477,3.2000000477,3.2000000477,3.5,3.4000000954,3.5,3.2999999523,3.5999999046,3.2999999523,2.9000000954,3.4000000954
1644586059, ,3.0999999046,3.5,3,3.2000000477,3.5,3.4000000954,3.5,3.2999999523,3.5999999046,3.2999999523,2.9000000954,3.4000000954
1644586060, ,3.0999999046,3.5,3,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.5999999046,3.2999999523,2.9000000954,3.4000000954
1644586061, ,3.0999999046,3.5,3,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,2.9000000954,3.4000000954
1644586062, ,3.0999999046,3.5,3,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,2.9000000954,3.4000000954
1644586063, ,2.9000000954,3.4000000954,3.0999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954,2.9000000954,3.4000000954
1644586064, ,2.9000000954,3.4000000954,3.0999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.4000000954,2.9000000954,3.4000000954
1644586065, ,2.9000000954,3.4000000954,3.0999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.2999999523,3.0999999046,3.4000000954
1644586066, ,3,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.5,3.2999999523,3.0999999046,3.4000000954
1644586067, ,3,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,2.9000000954,3.5
1644586068, ,3,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,2.9000000954,3.5
1644586069, ,2.9000000954,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,2.9000000954,3.5
1644586070, ,2.9000000954,3.5,3,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,2.9000000954,3.5
1644586071, ,2.9000000954,3.5,3,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3,3.2999999523
1644586072, ,2.9000000954,3.5,3,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3,3.2999999523
1644586073, ,3,3.4000000954,3.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.5,3.4000000954,3,3.2999999523
