1644586042 INTERNAL *** MONITORD_STARTED ***
1644586040 INTERNAL *** DAGMAN_STARTED 2245.0 ***
1644586044 create_dir_1000-genome_0_local SUBMIT 2246.0 local - 1
1644586046 create_dir_1000-genome_0_local EXECUTE 2246.0 local - 1
1644586048 create_dir_1000-genome_0_local JOB_TERMINATED 2246.0 local - 1
1644586049 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644586049 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 2246.0 local - 1
1644586050 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 2246.0 local - 1
1644586054 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644586059 stage_in_remote_local_2_0 SUBMIT 2247.0 local - 2
1644586059 stage_in_remote_local_1_0 SUBMIT 2248.0 local - 3
1644586059 stage_in_remote_local_2_0 EXECUTE 2247.0 local - 2
1644586059 stage_in_remote_local_0_0 SUBMIT 2249.0 local - 4
1644586059 stage_in_local_local_0_0 SUBMIT 2250.0 local - 5
1644586059 stage_in_local_local_2_0 SUBMIT 2251.0 local - 6
1644586061 stage_in_remote_local_2_0 JOB_TERMINATED 2247.0 local - 2
1644586064 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644586064 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 2247.0 local - 2
1644586061 stage_in_local_local_2_0 EXECUTE 2251.0 local - 6
1644586061 stage_in_local_local_0_0 EXECUTE 2250.0 local - 5
1644586061 stage_in_remote_local_0_0 EXECUTE 2249.0 local - 4
1644586061 stage_in_remote_local_1_0 EXECUTE 2248.0 local - 3
1644586063 stage_in_local_local_0_0 JOB_TERMINATED 2250.0 local - 5
1644586064 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644586064 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2250.0 local - 5
1644586063 stage_in_remote_local_1_0 JOB_TERMINATED 2248.0 local - 3
1644586064 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644586064 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2248.0 local - 3
1644586063 stage_in_remote_local_0_0 JOB_TERMINATED 2249.0 local - 4
1644586064 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1644586064 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 2249.0 local - 4
1644586064 stage_in_remote_local_0_1 SUBMIT 2252.0 local - 7
1644586064 stage_in_local_local_0_1 SUBMIT 2253.0 local - 8
1644586064 stage_in_remote_local_2_1 SUBMIT 2254.0 local - 9
1644586064 stage_in_local_local_2_1 SUBMIT 2255.0 local - 10
1644586064 stage_in_local_local_0_2 SUBMIT 2256.0 local - 11
1644586064 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2250.0 local - 5
1644586069 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1644586064 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 2249.0 local - 4
1644586069 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1644586064 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 2248.0 local - 3
1644586069 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1644586064 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 2247.0 local - 2
1644586069 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1644586065 stage_in_local_local_2_0 JOB_TERMINATED 2251.0 local - 6
1644586069 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1644586069 stage_in_local_local_2_0 POST_SCRIPT_STARTED 2251.0 local - 6
1644586065 stage_in_local_local_0_2 EXECUTE 2256.0 local - 11
1644586065 stage_in_local_local_2_1 EXECUTE 2255.0 local - 10
1644586065 stage_in_remote_local_2_1 EXECUTE 2254.0 local - 9
1644586065 stage_in_local_local_0_1 EXECUTE 2253.0 local - 8
1644586065 stage_in_remote_local_0_1 EXECUTE 2252.0 local - 7
1644586068 stage_in_local_local_0_2 JOB_TERMINATED 2256.0 local - 11
1644586069 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 11
1644586069 stage_in_local_local_0_2 POST_SCRIPT_STARTED 2256.0 local - 11
1644586068 stage_in_remote_local_2_1 JOB_TERMINATED 2254.0 local - 9
1644586069 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 9
1644586069 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2254.0 local - 9
1644586068 stage_in_remote_local_0_1 JOB_TERMINATED 2252.0 local - 7
1644586069 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 7
1644586069 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 2252.0 local - 7
1644586068 stage_in_local_local_0_1 JOB_TERMINATED 2253.0 local - 8
1644586069 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 8
1644586069 stage_in_local_local_0_1 POST_SCRIPT_STARTED 2253.0 local - 8
1644586070 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 2254.0 local - 9
1644586074 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 9
1644586070 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 2252.0 local - 7
1644586074 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 7
1644586070 stage_in_local_local_2_1 JOB_TERMINATED 2255.0 local - 10
1644586074 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 10
1644586074 stage_in_local_local_2_1 POST_SCRIPT_STARTED 2255.0 local - 10
1644586070 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 2253.0 local - 8
1644586074 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 8
1644586070 stage_in_local_local_0_2 POST_SCRIPT_TERMINATED 2256.0 local - 11
1644586074 stage_in_local_local_0_2 POST_SCRIPT_SUCCESS 0 local - 11
1644586070 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 2251.0 local - 6
1644586074 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1644586074 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 2255.0 local - 10
1644586079 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 10
1644586079 individuals_ID0000037 SUBMIT 2257.0 condorpool - 12
1644586079 individuals_ID0000038 SUBMIT 2258.0 condorpool - 13
1644586079 individuals_ID0000039 SUBMIT 2259.0 condorpool - 14
1644586079 individuals_ID0000033 SUBMIT 2260.0 condorpool - 15
1644586079 individuals_ID0000034 SUBMIT 2261.0 condorpool - 16
1644586084 individuals_ID0000035 SUBMIT 2262.0 condorpool - 17
1644586084 individuals_ID0000036 SUBMIT 2263.0 condorpool - 18
1644586084 individuals_ID0000073 SUBMIT 2264.0 condorpool - 19
1644586084 individuals_ID0000030 SUBMIT 2265.0 condorpool - 20
1644586084 individuals_ID0000074 SUBMIT 2266.0 condorpool - 21
1644586089 individuals_ID0000031 SUBMIT 2267.0 condorpool - 22
1644586089 individuals_ID0000075 SUBMIT 2268.0 condorpool - 23
1644586089 individuals_ID0000032 SUBMIT 2269.0 condorpool - 24
1644586089 individuals_ID0000070 SUBMIT 2270.0 condorpool - 25
1644586089 individuals_ID0000071 SUBMIT 2271.0 condorpool - 26
1644586095 individuals_ID0000072 SUBMIT 2272.0 condorpool - 27
1644586095 individuals_ID0000004 SUBMIT 2273.0 condorpool - 28
1644586095 individuals_ID0000048 SUBMIT 2274.0 condorpool - 29
1644586095 individuals_ID0000005 SUBMIT 2275.0 condorpool - 30
1644586095 individuals_ID0000049 SUBMIT 2276.0 condorpool - 31
1644586095 individuals_ID0000039 EXECUTE 2259.0 condorpool - 14
1644586095 individuals_ID0000037 EXECUTE 2257.0 condorpool - 12
1644586095 individuals_ID0000038 EXECUTE 2258.0 condorpool - 13
1644586096 individuals_ID0000033 EXECUTE 2260.0 condorpool - 15
1644586100 individuals_ID0000006 SUBMIT 2277.0 condorpool - 32
1644586100 individuals_ID0000007 SUBMIT 2278.0 condorpool - 33
1644586100 individuals_ID0000044 SUBMIT 2279.0 condorpool - 34
1644586100 individuals_ID0000001 SUBMIT 2280.0 condorpool - 35
1644586100 individuals_ID0000045 SUBMIT 2281.0 condorpool - 36
1644586105 individuals_ID0000002 SUBMIT 2282.0 condorpool - 37
1644586105 individuals_ID0000046 SUBMIT 2283.0 condorpool - 38
1644586105 individuals_ID0000003 SUBMIT 2284.0 condorpool - 39
1644586105 individuals_ID0000047 SUBMIT 2285.0 condorpool - 40
1644586105 individuals_ID0000008 SUBMIT 2286.0 condorpool - 41
1644586110 individuals_ID0000009 SUBMIT 2287.0 condorpool - 42
1644586110 individuals_ID0000040 SUBMIT 2288.0 condorpool - 43
1644586110 individuals_ID0000041 SUBMIT 2289.0 condorpool - 44
1644586110 individuals_ID0000042 SUBMIT 2290.0 condorpool - 45
1644586110 individuals_ID0000043 SUBMIT 2291.0 condorpool - 46
1644586115 individuals_ID0000015 SUBMIT 2292.0 condorpool - 47
1644586115 individuals_ID0000059 SUBMIT 2293.0 condorpool - 48
