Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000033,2753.000.000,192.168.5.101,1645772852,1645772866,1645773548,1645773549,1645773549,1645773549,1645773554,14,683,5
mutation_overlap,ID0000065,2808.000.000,192.168.5.101,1645785951,1645786365,1645786450,1645786452,1645786452,1645786452,1645786457,414,87,5
individuals,ID0000019,2787.000.000,192.168.5.101,1645772888,1645779039,1645779700,1645779701,1645779701,1645779701,1645779706,6151,662,5
individuals,ID0000024,2796.000.000,192.168.5.101,1645772899,1645780444,1645781152,1645781153,1645781153,1645781153,1645781158,7545,709,5
individuals,ID0000026,2790.000.000,192.168.5.101,1645772893,1645779274,1645779912,1645779917,1645779917,1645779917,1645779922,6381,643,5
individuals,ID0000030,2757.000.000,192.168.5.101,1645772857,1645773560,1645774217,1645774220,1645774220,1645774220,1645774225,703,660,5
mutation_overlap,ID0000059,2815.000.000,192.168.5.101,1645785957,1645787411,1645787502,1645787507,1645787507,1645787507,1645787512,1454,96,5
individuals,ID0000045,2768.000.000,192.168.5.101,1645772868,1645775627,1645776289,1645776292,1645776292,1645776293,1645776297,2759,665,5
individuals,ID0000023,2795.000.000,192.168.5.101,1645772899,1645780437,1645781131,1645781133,1645781133,1645781134,1645781138,7538,696,5
stage_in_remote_local_1,0,2741.000.000,192.168.5.10,1645772832,1645772834,1645772836,1645772837,1645772837,1645772837,1645772842,2,3,5
individuals,ID0000044,2766.000.000,192.168.5.101,1645772868,1645775627,1645776285,1645776287,1645776287,1645776287,1645776292,2759,660,5
stage_in_local_local_0,0,2743.000.000,192.168.5.10,1645772832,1645772834,1645772836,1645772837,1645772837,1645772837,1645772842,2,3,5
sifting,ID0000052,2800.000.000,192.168.5.101,1645772904,1645781198,1645781199,1645781203,1645781203,1645781204,1645781208,8294,5,5
individuals,ID0000015,2779.000.000,192.168.5.101,1645772878,1645777674,1645778326,1645778329,1645778329,1645778329,1645778334,4796,655,5
DAGMAN,,2738.0,,1645772812,,,,,,1645787737,,,
mutation_overlap,ID0000055,2807.000.000,192.168.5.101,1645785951,1645786255,1645786347,1645786347,1645786347,1645786348,1645786352,304,92,5
individuals,ID0000011,2783.000.000,192.168.5.101,1645772883,1645778386,1645779041,1645779045,1645779045,1645779046,1645779050,5503,659,5
frequency,ID0000056,2813.000.000,192.168.5.101,1645785956,1645787010,1645787699,1645787702,1645787702,1645787703,1645787707,1054,692,5
individuals,ID0000021,2799.000.000,192.168.5.101,1645772899,1645781141,1645781732,1645781733,1645781733,1645781734,1645781738,8242,592,5
frequency,ID0000058,2805.000.000,192.168.5.101,1645785946,1645785967,1645786766,1645786767,1645786767,1645786767,1645786772,21,800,5
individuals,ID0000007,2765.000.000,192.168.5.101,1645772868,1645774914,1645775597,1645775597,1645775597,1645775597,1645775602,2046,683,5
individuals,ID0000029,2793.000.000,192.168.5.101,1645772894,1645779766,1645780432,1645780432,1645780432,1645780433,1645780437,6872,666,5
individuals,ID0000037,2750.000.000,192.168.5.101,1645772852,1645772864,1645773538,1645773539,1645773539,1645773540,1645773544,12,675,5
stage_out_local_local_2,0,2816.000.000,192.168.5.10,1645787637,1645787637,1645787641,1645787642,1645787642,1645787642,1645787647,0,5,5
individuals,ID0000012,2784.000.000,192.168.5.101,1645772883,1645778386,1645779039,1645779040,1645779040,1645779040,1645779045,5503,654,5
mutation_overlap,ID0000057,2814.000.000,192.168.5.101,1645785957,1645787227,1645787393,1645787397,1645787397,1645787398,1645787402,1270,170,5
cleanup_1000-genome_0,local,2818.000.000,192.168.5.10,1645787727,1645787727,1645787729,1645787732,1645787732,1645787732,1645787737,0,5,5
individuals,ID0000008,2773.000.000,192.168.5.101,1645772873,1645776296,1645776965,1645776968,1645776968,1645776968,1645776973,3423,672,5
individuals,ID0000027,2791.000.000,192.168.5.101,1645772893,1645779766,1645780440,1645780442,1645780442,1645780442,1645780447,6873,676,5
individuals,ID0000001,2767.000.000,192.168.5.101,1645772868,1645775627,1645775910,1645775912,1645775912,1645775913,1645775917,2759,285,5
individuals,ID0000042,2777.000.000,192.168.5.101,1645772878,1645777006,1645777676,1645777679,1645777679,1645777679,1645777684,4128,673,5
individuals,ID0000046,2770.000.000,192.168.5.101,1645772873,1645775916,1645776567,1645776572,1645776572,1645776572,1645776577,3043,656,5
individuals,ID0000022,2794.000.000,192.168.5.101,1645772894,1645779941,1645780622,1645780623,1645780623,1645780623,1645780628,7047,682,5
individuals,ID0000025,2797.000.000,192.168.5.101,1645772899,1645780451,1645781158,1645781163,1645781163,1645781163,1645781168,7552,712,5
stage_in_local_local_2,1,2747.000.000,192.168.5.10,1645772837,1645772839,1645772843,1645772847,1645772847,1645772847,1645772852,2,8,5
individuals,ID0000004,2760.000.000,192.168.5.101,1645772862,1645774247,1645774902,1645774906,1645774906,1645774907,1645774911,1385,659,5
individuals,ID0000041,2776.000.000,192.168.5.101,1645772878,1645777006,1645777676,1645777679,1645777679,1645777679,1645777684,4128,673,5
individuals,ID0000038,2751.000.000,192.168.5.101,1645772852,1645772866,1645773554,1645773559,1645773559,1645773560,1645773565,14,693,6
mutation_overlap,ID0000053,2804.000.000,192.168.5.101,1645785946,1645785967,1645786094,1645786097,1645786097,1645786097,1645786102,21,130,5
stage_in_local_local_2,0,2744.000.000,192.168.5.10,1645772832,1645772834,1645772838,1645772842,1645772842,1645772843,1645772847,2,8,5
individuals,ID0000047,2772.000.000,192.168.5.101,1645772873,1645776291,1645776968,1645776973,1645776973,1645776973,1645776978,3418,682,5
individuals,ID0000039,2752.000.000,192.168.5.101,1645772852,1645772865,1645773550,1645773554,1645773554,1645773554,1645773559,13,689,5
individuals,ID0000016,2780.000.000,192.168.5.101,1645772883,1645777684,1645778339,1645778339,1645778339,1645778340,1645778344,4801,655,5
stage_in_remote_local_2,1,2748.000.000,192.168.5.10,1645772837,1645772838,1645772841,1645772842,1645772842,1645772843,1645772847,1,4,5
individuals,ID0000018,2782.000.000,192.168.5.101,1645772883,1645777959,1645778600,1645778604,1645778604,1645778604,1645778609,5076,645,5
stage_in_local_local_0,1,2746.000.000,192.168.5.10,1645772837,1645772839,1645772841,1645772842,1645772842,1645772843,1645772847,2,3,5
individuals,ID0000040,2775.000.000,192.168.5.101,1645772878,1645777006,1645777669,1645777669,1645777669,1645777670,1645777674,4128,663,5
individuals,ID0000050,2789.000.000,192.168.5.101,1645772888,1645779048,1645779699,1645779701,1645779701,1645779701,1645779706,6160,653,5
create_dir_1000-genome_0,local,2739.000.000,192.168.5.10,1645772817,1645772818,1645772821,1645772822,1645772822,1645772822,1645772827,1,4,5
individuals,ID0000028,2792.000.000,192.168.5.101,1645772894,1645779766,1645780446,1645780447,1645780447,1645780447,1645780452,6872,681,5
individuals,ID0000014,2786.000.000,192.168.5.101,1645772888,1645778622,1645779269,1645779270,1645779270,1645779270,1645779275,5734,648,5
individuals,ID0000010,2788.000.000,192.168.5.101,1645772888,1645779045,1645779701,1645779706,1645779706,1645779706,1645779711,6157,661,5
individuals_merge,ID0000051,2801.000.000,192.168.5.101,1645781743,1645781746,1645785931,1645785936,1645785936,1645785936,1645785941,3,4190,5
individuals,ID0000002,2769.000.000,192.168.5.101,1645772868,1645775627,1645776284,1645776287,1645776287,1645776287,1645776292,2759,660,5
frequency,ID0000054,2810.000.000,192.168.5.101,1645785951,1645786808,1645787625,1645787627,1645787627,1645787628,1645787632,857,819,5
individuals,ID0000049,2763.000.000,192.168.5.101,1645772862,1645774908,1645775594,1645775597,1645775597,1645775597,1645775602,2046,689,5
individuals,ID0000036,2756.000.000,192.168.5.101,1645772857,1645773556,1645774214,1645774215,1645774215,1645774215,1645774220,699,659,5
frequency,ID0000064,2809.000.000,192.168.5.101,1645785951,1645786468,1645787111,1645787112,1645787112,1645787112,1645787117,517,644,5
stage_out_local_local_2,1,2817.000.000,192.168.5.10,1645787712,1645787712,1645787716,1645787717,1645787717,1645787717,1645787722,0,5,5
individuals,ID0000006,2764.000.000,192.168.5.101,1645772862,1645774914,1645775596,1645775597,1645775597,1645775597,1645775602,2052,683,5
individuals,ID0000031,2758.000.000,192.168.5.101,1645772857,1645774246,1645774907,1645774911,1645774911,1645774911,1645774916,1389,665,5
individuals,ID0000013,2785.000.000,192.168.5.101,1645772888,1645778386,1645779034,1645779035,1645779035,1645779035,1645779040,5498,649,5
stage_in_remote_local_2,0,2740.000.000,192.168.5.10,1645772832,1645772832,1645772834,1645772837,1645772837,1645772837,1645772842,0,5,5
mutation_overlap,ID0000063,2806.000.000,192.168.5.101,1645785946,1645786147,1645786236,1645786237,1645786237,1645786237,1645786242,201,90,5
individuals,ID0000009,2774.000.000,192.168.5.101,1645772873,1645776573,1645777237,1645777239,1645777239,1645777239,1645777244,3700,666,5
frequency,ID0000060,2802.000.000,192.168.5.101,1645785946,1645785947,1645786700,1645786702,1645786702,1645786703,1645786707,1,755,5
