Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101
Overall,1645772852,1645787702,14850, 22.5919, 1.0000, 22.5919
NodeBasis,1645772852,1645787702,14850, 22.5919, 1.0000, 22.5919
