Timestamp,Time,Node IP,Node ID,WaitingJobs,frequency,individuals,individuals_merge,mutation_overlap,sifting,TotalJobs,NodeActive,Energy,Utilization,comp_frequency,comp_individuals,comp_individuals_merge,comp_mutation_overlap,comp_sifting,comp_TotalJobs
1645772812, 0, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645772812, 0, All, -1,0, 0, 0, 0, 0, 0, 0, 0,,0,0,0,0,0,0,0
1645772813, 1, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645772813, 1, All, -1,0, 0, 0, 0, 0, 0, 0, 0,,0,0,0,0,0,0,0
1645772814, 2, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772814, 2, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772815, 3, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772815, 3, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772816, 4, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772816, 4, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772817, 5, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772817, 5, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772818, 6, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772818, 6, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
1645772819, 7, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772819, 7, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
1645772820, 8, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772820, 8, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772821, 9, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772821, 9, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772822, 10, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772822, 10, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772823, 11, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772823, 11, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772824, 12, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645772824, 12, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0,0,0,0,0,0,0
1645772825, 13, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772825, 13, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
1645772826, 14, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772826, 14, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
1645772827, 15, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772827, 15, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
1645772828, 16, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645772828, 16, All, -1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0,0,0,0,0,0,0
