Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
Overall,1645999383,1646006849,7466, 57.3082, 1.0000, 8.2513, 8.2855, 8.1663, 8.0566, 8.1575, 8.3113, 8.0797
NodeBasis,1645999383,1646006849,7466, 40.2636, 0.7026, 2.7356, 7.5897, 8.1462, 8.0566, 3.0177, 8.0502, 2.6675
