Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
1645999344,0,24.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.5,3.4000000954,3.5
1645999345,1,24.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.5,3.4000000954,3.5
1645999346,2,23.8000001908,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5
1645999347,3,23.6000001431,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.2999999523
1645999348,4,24.3999998569,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.7999999523,3.2999999523
1645999349,5,24.3999998569,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.7999999523,3.2999999523
1645999350,6,24.3999998569,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.7999999523,3.2999999523
1645999351,7,24.5999999046,3.4000000954,3.5999999046,3.4500000477,3.5499999523,3.39999997615,3.7999999523,3.39999997615
1645999352,8,24.7999999523,3.4000000954,3.5999999046,3.5,3.5,3.5,3.7999999523,3.5
1645999353,9,24.7999999523,3.4000000954,3.5999999046,3.5,3.5,3.5,3.7999999523,3.5
1645999354,10,24.7999999523,3.4000000954,3.5999999046,3.5,3.5,3.5,3.7999999523,3.5
1645999355,11,24.0000002385,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.4000000954
1645999356,12,24.0000002385,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.4000000954
1645999357,13,24.0000002385,3.2999999523,3.5,3.4000000954,3.5,3.5,3.4000000954,3.4000000954
1645999358,14,23.8000001908,3.4000000954,3.0999999046,3.4000000954,3.5,3.5,3.4000000954,3.5
1645999359,15,23.9000000954,3.4000000954,3.0999999046,3.5,3.4000000954,3.2999999523,3.7000000477,3.5
1645999360,16,24.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.2999999523,3.7000000477,3.4000000954
1645999361,17,24.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.2999999523,3.7000000477,3.4000000954
1645999362,18,24.5,3.5,3.5999999046,3.5,3.7000000477,3.7000000477,3.0999999046,3.4000000954
1645999363,19,24.5,3.5,3.5999999046,3.5,3.7000000477,3.7000000477,3.0999999046,3.4000000954
1645999364,20,24.2000000477,3.5,3.5,3.4000000954,3.5999999046,3.7000000477,3.0999999046,3.4000000954
1645999365,21,24.3000001908,3.5,3.5,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954
1645999366,22,24.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.5,3.4000000954,3.5
1645999367,23,23.7000000477,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5
1645999368,24,23.7999999523,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.5,3.5
1645999369,25,23.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.5,3.2999999523
1645999370,26,24.1999998092,3.2999999523,3.5,3.5,3.5,3.2999999523,3.7999999523,3.2999999523
1645999371,27,24.1999998092,3.2999999523,3.5,3.5,3.5,3.2999999523,3.7999999523,3.2999999523
1645999372,28,24.0999999046,3.2999999523,3.5,3.5,3.5,3.2999999523,3.7999999523,3.2000000477
1645999373,29,24.1000001431,3.4000000954,3.5999999046,3.5,3.5,3.5,3.4000000954,3.2000000477
1645999374,30,24.1000001431,3.4000000954,3.5999999046,3.5,3.5,3.5,3.4000000954,3.2000000477
1645999375,31,24.3000001908,3.4000000954,3.5999999046,3.5,3.5,3.5,3.4000000954,3.4000000954
1645999376,32,24.1000001431,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.4000000954,3.4000000954
1645999377,33,24.1000001431,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.4000000954,3.4000000954
1645999378,34,23.5000002385,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.5
1645999379,35,23.5000002385,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.5
1645999380,36,23.4000003339,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.4000000954
1645999381,37,24.1000001431,3.5,3.2000000477,3.5,3.7000000477,3.2999999523,3.5,3.4000000954
1645999382,38,24.1000001431,3.5,3.2000000477,3.5,3.7000000477,3.2999999523,3.5,3.4000000954
1645999383,39,23.8999998569,3.5,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2999999523
1645999384,40,23.8999998569,3.5,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2999999523
1645999385,41,24,3.5,3.5,3.2999999523,3.5,3.5,3.4000000954,3.2999999523
1645999386,42,24.2000002862,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.5
1645999387,43,24.2000002862,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.5
1645999388,44,24.2000002862,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.5
1645999389,45,23.8000001908,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.5
1645999390,46,23.8000001908,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.5
1645999391,47,23.8000001908,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.5
1645999392,48,23.6000001431,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.2999999523
1645999393,49,24.8999998569,3.4000000954,3.5999999046,3.5,3.5,4.0999999046,3.5,3.2999999523
1645999394,50,24.8999998569,3.4000000954,3.5999999046,3.5,3.5,4.0999999046,3.5,3.2999999523
1645999395,51,24.7000000477,3.5,3.5999999046,3.2999999523,3.5,3.5,3.4000000954,3.9000000954
1645999396,52,24.7000000477,3.5,3.5999999046,3.2999999523,3.5,3.5,3.4000000954,3.9000000954
1645999397,53,24.6000001431,3.4000000954,3.5999999046,3.2999999523,3.5,3.5,3.4000000954,3.9000000954
1645999398,54,24.2000000477,3.4000000954,3.5999999046,3.2999999523,3.5,3.5,3.4000000954,3.5
1645999399,55,24,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.5,3.4000000954,3.5
