Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108
Overall,1646011828,1646019101,7273, 62.7883, 1.0000, 8.0912, 7.8024, 7.7047, 7.8537, 7.4568, 8.1194, 7.9695, 7.7905
NodeBasis,1646011828,1646019101,7273, 40.3826, 0.6432, 2.7801, 7.1529, 7.6466, 7.8537, 1.5620, 7.8839, 2.8681, 2.6353
