Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108
1646011791,0,27.4000003339,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954
1646011792,1,27.4000003339,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954
1646011793,2,27.4000003339,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954
1646011794,3,27.4000003339,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954
1646011795,4,27.7000000477,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.2999999523,3.4000000954
1646011796,5,27.6000001431,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.4000000954,3.2000000477
1646011797,6,26.9000000954,3.2000000477,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.5,3.4000000954,3.2000000477
1646011798,7,26.9000000954,3.2000000477,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.5,3.4000000954,3.2000000477
1646011799,8,27.0999996661,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.5,3.5,3.2999999523
1646011800,9,27.0999996661,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.5,3.5,3.2999999523
1646011801,10,26.7999997138,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,3.5,3.2999999523
1646011802,11,26.5999996661,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523
1646011803,12,27.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523
1646011804,13,27.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523
1646011805,14,27.6000003816,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.4000000954,3.4000000954
1646011806,15,27.6000003816,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954
1646011807,16,27.5000002385,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523
1646011808,17,27.4000003339,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1646011809,18,27.4000003339,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1646011810,19,27.6000003816,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.5,3.4000000954
1646011811,20,27.1000001431,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954
1646011812,21,27.1000001431,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954
1646011813,22,27.2000002862,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954
1646011814,23,27.8000001908,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.5,3.4000000954
1646011815,24,27.6000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523
1646011816,25,27.6000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523
1646011817,26,27.3999998569,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.2999999523
1646011818,27,27.3999998569,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.2999999523
1646011819,28,27.1999998092,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.2000000477,3.2999999523
1646011820,29,27,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.2999999523
1646011821,30,27.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5
1646011822,31,27.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5
1646011823,32,27.3000001908,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5
1646011824,33,27.5,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5
1646011825,34,27.1999998092,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.2999999523
1646011826,35,27.1999998092,3.5,3.5999999046,3.2999999523,3.5,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1646011827,36,27.2000000477,3.5,3.5999999046,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.2000000477
1646011828,37,27.2000000477,3.5,3.5999999046,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.2000000477
1646011829,38,27.7000000477,3.5,3.7000000477,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.2000000477
1646011830,39,27.7000000477,3.5,3.7000000477,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.2000000477
1646011831,40,27.7000000477,3.5,3.7000000477,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.2000000477
1646011832,41,29.7000000477,3.2999999523,3.5999999046,3.4000000954,4.9000000954,3.2999999523,4.5999999046,3.4000000954,3.2000000477
