timestamp,Energy 12n,Energy 6n
0,40.4000001,20
1,40.4000001,20
2,40.4000001,20
3,40.20000005,20.0999999
4,40.70000005,20.0999999
5,40.70000005,20.0999999
6,40,20.10000014
7,40.29999995,20.4000001
8,40.29999995,20.4000001
9,41.40000033,21.30000019
10,41.40000033,21.30000019
11,41.40000033,21.30000019
12,40.60000014,20.30000019
13,40.60000014,20.30000019
14,40.60000014,20.30000019
16,40.5999999,20
16,40.29999995,20
17,40.29999995,20
18,41.00000048,20.40000033
19,41.00000048,20.40000033
20,40.80000043,20.20000029
21,40.70000029,20.10000014
22,40.70000029,20.10000014
23,40.70000029,20.10000014
24,40.70000029,20.10000014
25,40.70000029,20.10000014
26,40.39999986,19.70000005
27,40.39999986,19.70000005
28,40.5999999,19.70000005
29,41,20.10000014
30,41.0999999,20.20000005
31,40.70000005,20.20000005
32,40.70000005,20.20000005
33,40.9000001,20.20000005
34,40.9000001,20.20000005
35,40.4000001,20.00000024
36,40.4000001,20.00000024
37,40.20000029,20.00000024
38,40.5,20.29999995
39,40.39999986,20.29999995
40,40.29999995,20.29999995
41,42.4000001,22.4000001
42,41.70000029,21.50000024
43,42.4000001,22.20000005
44,42.20000005,22.20000005
45,43.09999967,23.09999967
46,43.79999995,23.09999967
47,44.30000019,23.5999999
48,44.0999999,23.5999999
49,43.10000038,22.60000038
50,43.10000038,22.60000038
51,43.10000062,22.60000038
52,43.30000067,22.80000043
53,43.30000067,22.80000043
54,43.30000043,22.80000043
55,43.80000043,23.30000043
56,43.80000043,23.30000043
57,43.60000038,23.30000043
58,43.80000019,23.50000024
59,43.90000033,23.50000024
60,44.00000048,23.50000024
61,46.20000005,25.69999981
63,46.89999962,26.69999981
63,46,25.80000019
64,45.9000001,25.80000019
65,47.70000005,27.0999999
66,47.70000005,27.0999999
67,48.79999995,28.19999981
69,48.0999999,27.50000024
70,48.0999999,27.50000024
71,48.5,27.90000033
72,48.5,27.90000033
73,47.30000019,26.5
74,47.30000019,26.5
75,46.79999995,25.99999976
76,46.30000019,25.99999976
77,46.30000019,25.99999976
78,46.60000014,25.99999976
79,49.80000019,29.20000005
80,49.4000001,29.20000005
81,49.79999971,28.99999976
82,49.79999971,28.99999976
83,49.29999971,28.49999976
84,48.49999976,28.49999976
85,47.80000019,28.00000024
86,47.5,27.4000001
87,48.79999995,28.70000005
88,48.79999995,28.70000005
89,48.79999995,28.70000005
90,48.5999999,27.99999976
91,48.5999999,27.99999976
92,48.5999999,27.99999976
93,46.9000001,26.4000001
94,47.00000024,26.4000001
95,47.00000024,26.4000001
96,47.89999938,27.49999952
97,48.19999933,27.49999952
