number of individual job,time,energy
1,40595,49.56
2,21873,31.95
3,15609,26.05
4,12821,22.87
5,19721,30.03
6,17746,28.02
7,15440,26.01
8,15462,25.95
9,19020,29.36
10,15855,26.68
