Timestamp,Time,Total_energy,192.168.5.101
1645772814,0,3.4000000954,3.4000000954
1645772815,1,3.4000000954,3.4000000954
1645772816,2,3.4000000954,3.4000000954
1645772817,3,3.4000000954,3.4000000954
1645772818,4,3.2999999523,3.2999999523
1645772819,5,3.2999999523,3.2999999523
1645772820,6,3.4000000954,3.4000000954
1645772821,7,3.4000000954,3.4000000954
1645772822,8,3.4000000954,3.4000000954
1645772823,9,3.4000000954,3.4000000954
1645772824,10,3.4000000954,3.4000000954
1645772825,11,3.2999999523,3.2999999523
1645772826,12,3.2999999523,3.2999999523
1645772827,13,3.2999999523,3.2999999523
1645772828,14,3.2999999523,3.2999999523
1645772829,15,3.2999999523,3.2999999523
1645772830,16,3.2999999523,3.2999999523
1645772831,17,3.4000000954,3.4000000954
1645772832,18,3.4000000954,3.4000000954
1645772833,19,3.4000000954,3.4000000954
1645772834,20,3.4000000954,3.4000000954
1645772835,21,3.4000000954,3.4000000954
1645772836,22,3.4000000954,3.4000000954
1645772837,23,3.4000000954,3.4000000954
1645772838,24,3.2000000477,3.2000000477
1645772839,25,3.2000000477,3.2000000477
1645772840,26,3.2000000477,3.2000000477
1645772841,27,3.4000000954,3.4000000954
1645772842,28,3.4000000954,3.4000000954
1645772843,29,3.5,3.5
1645772844,30,3.5,3.5
1645772845,31,3.5,3.5
1645772846,32,3.2999999523,3.2999999523
1645772847,33,3.2999999523,3.2999999523
1645772848,34,3.2999999523,3.2999999523
1645772849,35,3.2000000477,3.2000000477
1645772850,36,3.2000000477,3.2000000477
1645772851,37,3.5,3.5
1645772852,38,3.5,3.5
1645772853,39,3.5,3.5
1645772854,40,3.5,3.5
1645772855,41,3.5,3.5
1645772856,42,3.5,3.5
1645772857,43,3.5,3.5
1645772858,44,5.3000001907,5.3000001907
1645772859,45,5.3000001907,5.3000001907
1645772860,46,5.3000001907,5.3000001907
1645772861,47,4.4000000954,4.4000000954
1645772862,48,4.4000000954,4.4000000954
1645772863,49,5.0999999046,5.0999999046
1645772864,50,5.0999999046,5.0999999046
1645772865,51,5.5,5.5
1645772866,52,5.5,5.5
1645772867,53,5.5,5.5
1645772868,54,5.9000000954,5.9000000954
1645772869,55,5.9000000954,5.9000000954
1645772870,56,5.9000000954,5.9000000954
1645772871,57,5.9000000954,5.9000000954
1645772872,58,5.9000000954,5.9000000954
1645772873,59,5.9000000954,5.9000000954
1645772874,60,5.9000000954,5.9000000954
1645772875,61,6.6999998093,6.6999998093
1645772876,62,6.6999998093,6.6999998093
1645772877,63,7,7
1645772878,64,7,7
1645772879,65,7,7
1645772880,66,7.3000001907,7.3000001907
1645772881,67,7.3000001907,7.3000001907
1645772882,68,7.3000001907,7.3000001907
1645772883,69,7.3000001907,7.3000001907
1645772884,70,6.8000001907,6.8000001907
1645772885,71,6.8000001907,6.8000001907
1645772886,72,6.6999998093,6.6999998093
1645772887,73,6.6999998093,6.6999998093
1645772888,74,6.6999998093,6.6999998093
1645772889,75,6.5,6.5
1645772890,76,6.5,6.5
1645772891,77,6.5,6.5
1645772892,78,7.3000001907,7.3000001907
1645772893,79,7.3000001907,7.3000001907
1645772894,80,7.3000001907,7.3000001907
1645772895,81,6.5999999046,6.5999999046
1645772896,82,6.5999999046,6.5999999046
1645772897,83,6.5999999046,6.5999999046
1645772898,84,6.5999999046,6.5999999046
1645772899,85,6.5999999046,6.5999999046
1645772900,86,7.1999998093,7.1999998093
1645772901,87,7.1999998093,7.1999998093
1645772902,88,7.1999998093,7.1999998093
1645772903,89,7.5,7.5
1645772904,90,7.5,7.5
1645772905,91,7.5,7.5
1645772906,92,7.4000000954,7.4000000954
1645772907,93,7.4000000954,7.4000000954
1645772908,94,7.4000000954,7.4000000954
1645772909,95,7.4000000954,7.4000000954
1645772910,96,7.4000000954,7.4000000954
1645772911,97,7.4000000954,7.4000000954
1645772912,98,7.3000001907,7.3000001907
1645772913,99,7.3000001907,7.3000001907
1645772914,100,7.3000001907,7.3000001907
1645772915,101,6.4000000954,6.4000000954
1645772916,102,6.4000000954,6.4000000954
1645772917,103,6.4000000954,6.4000000954
1645772918,104,7.1999998093,7.1999998093
1645772919,105,7.1999998093,7.1999998093
1645772920,106,7.1999998093,7.1999998093
1645772921,107,6.9000000954,6.9000000954
1645772922,108,6.9000000954,6.9000000954
1645772923,109,6.9000000954,6.9000000954
1645772924,110,7.0999999046,7.0999999046
1645772925,111,7.0999999046,7.0999999046
1645772926,112,7.4000000954,7.4000000954
1645772927,113,7.4000000954,7.4000000954
1645772928,114,7.4000000954,7.4000000954
1645772929,115,7.3000001907,7.3000001907
1645772930,116,7.3000001907,7.3000001907
1645772931,117,7.3000001907,7.3000001907
1645772932,118,7.3000001907,7.3000001907
1645772933,119,7.3000001907,7.3000001907
1645772934,120,7.3000001907,7.3000001907
1645772935,121,7.4000000954,7.4000000954
1645772936,122,7.4000000954,7.4000000954
1645772937,123,7.0999999046,7.0999999046
1645772938,124,7.0999999046,7.0999999046
1645772939,125,7.0999999046,7.0999999046
1645772940,126,7.0999999046,7.0999999046
1645772941,127,7.1999998093,7.1999998093
1645772942,128,7.1999998093,7.1999998093
1645772943,129,7.1999998093,7.1999998093
1645772944,130,7.4000000954,7.4000000954
1645772945,131,7.5,7.5
1645772946,132,7.5,7.5
1645772947,133,7.5,7.5
1645772948,134,7.0999999046,7.0999999046
1645772949,135,7.0999999046,7.0999999046
1645772950,136,7.0999999046,7.0999999046
1645772951,137,7.0999999046,7.0999999046
1645772952,138,7,7
1645772953,139,7,7
1645772954,140,7,7
