Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168
Overall,1611668241,1611672633,4392, 50.6820, 1.0000, 6.7081, 5.7427, 6.1249, 5.9043, 7.0323, 6.5935, 6.4332, 6.1432
NodeBasis,1611668241,1611672633,4392, 44.9941, 0.8878, 6.6645, 3.9090, 5.2062, 4.5673, 7.0323, 6.4001, 5.2647, 5.9499
