Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
Overall,1644463758,1644472223,8465, 59.3782, 1.0000, 10.6423, 9.8913, 9.4039, 10.0410, 9.7647, 9.6350
NodeBasis,1644463758,1644472223,8465, 47.4976, 0.7999, 10.6423, 9.6490, 8.7580, 9.9837, 4.2683, 4.1963
