timestamp, ,total_energy,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170,192.168.1.171
1611716003, ,35.299999952323,3.09999990463,3.09999990463,3.09999990463,3.29999995232,3.40000009537,3.40000009537,3.40000009537,3.099999904633,3.40000009537,2.90000009537,3.09999990463
1611716004, ,35.699999809276,3.09999990463,3.09999990463,3.09999990463,3.29999995232,3.40000009537,3.40000009537,3.40000009537,3.299999952316,3.29999995232,3,3.29999995232
1611716005, ,35.700000047696,3.20000004768,3.29999995232,3,3.29999995232,3.20000004768,3.40000009537,3.40000009537,3.299999952316,3.29999995232,3,3.29999995232
1611716006, ,35.399999856956,3.20000004768,3.29999995232,3,3.29999995232,3.20000004768,3.20000004768,3.29999995232,3.299999952316,3.29999995232,3,3.29999995232
1611716007, ,35.399999856954,3.20000004768,3.29999995232,3,3.29999995232,3.20000004768,3.20000004768,3.29999995232,3.200000047684,3.29999995232,3.09999990463,3.29999995232
1611716008, ,35.599999904634,3.40000009537,3.29999995232,3.09999990463,3.20000004768,3.20000004768,3.20000004768,3.29999995232,3.200000047684,3.29999995232,3.09999990463,3.29999995232
1611716009, ,35.799999713913,3.40000009537,3.29999995232,3.09999990463,3.20000004768,3.29999995232,3.40000009537,3.29999995232,3.099999904633,3.29999995232,3.09999990463,3.29999995232
1611716010, ,35.300000190753,3.40000009537,3.29999995232,3.09999990463,3.20000004768,3.29999995232,3.40000009537,3.29999995232,3.099999904633,3.40000009537,2.90000009537,2.90000009537
1611716011, ,35.200000286123,3.40000009537,3.09999990463,3,3.29999995232,3.40000009537,3.40000009537,3.29999995232,3.099999904633,3.40000009537,2.90000009537,2.90000009537
1611716012, ,35.400000333806,3.40000009537,3.09999990463,3,3.29999995232,3.40000009537,3.40000009537,3.29999995232,3.299999952316,3.40000009537,2.90000009537,2.90000009537
1611716013, ,35.899999856966,3.40000009537,3.09999990463,3,3.29999995232,3.40000009537,3.40000009537,3.29999995232,3.299999952316,3.29999995232,3.29999995232,3.09999990463
1611716014, ,36.600000143066,3.40000009537,3.5,3.20000004768,3.40000009537,3.40000009537,3.40000009537,3.29999995232,3.299999952316,3.29999995232,3.29999995232,3.09999990463
1611716015, ,36.400000333794,3.40000009537,3.5,3.20000004768,3.40000009537,3.40000009537,3.20000004768,3.40000009537,3.200000047684,3.29999995232,3.29999995232,3.09999990463
1611716016, ,36.500000238434,3.29999995232,3.40000009537,3.29999995232,3.40000009537,3.40000009537,3.20000004768,3.40000009537,3.200000047684,3.5,3.29999995232,3.09999990463
1611716017, ,36.099999904644,3.29999995232,3.40000009537,3.29999995232,3.29999995232,3.09999990463,3.20000004768,3.40000009537,3.200000047684,3.5,3.29999995232,3.09999990463
1611716018, ,36.099999904634,3.20000004768,3.40000009537,3.09999990463,3.29999995232,3.20000004768,3.5,3.29999995232,3.200000047684,3.5,3.29999995232,3.09999990463
1611716019, ,35.800000190744,3.20000004768,3.40000009537,3.09999990463,3.29999995232,3.20000004768,3.5,3.29999995232,3.200000047684,3.40000009537,3.29999995232,2.90000009537
1611716020, ,35.800000190744,3.20000004768,3.40000009537,3.09999990463,3.29999995232,3.20000004768,3.5,3.29999995232,3.200000047684,3.40000009537,3.29999995232,2.90000009537
1611716021, ,35.900000333796,3.40000009537,3.40000009537,3.09999990463,3.20000004768,3.20000004768,3.29999995232,3.40000009537,3.299999952316,3.40000009537,3.29999995232,2.90000009537
1611716022, ,35.900000095376,3.40000009537,3.40000009537,3.09999990463,3.20000004768,3.20000004768,3.29999995232,3.40000009537,3.299999952316,3.29999995232,3.29999995232,3
1611716023, ,35.900000095376,3.40000009537,3.40000009537,3.09999990463,3.20000004768,3.20000004768,3.29999995232,3.40000009537,3.299999952316,3.29999995232,3.29999995232,3
1611716024, ,36.500000238433,3.40000009537,3.5,3.09999990463,3.40000009537,3.5,3.40000009537,3.40000009537,3.099999904633,3.40000009537,3.29999995232,3
1611716025, ,36.700000286113,3.40000009537,3.5,3.09999990463,3.40000009537,3.5,3.40000009537,3.40000009537,3.099999904633,3.40000009537,3.40000009537,3.09999990463
1611716026, ,36.700000286113,3.40000009537,3.5,3.09999990463,3.40000009537,3.5,3.40000009537,3.40000009537,3.099999904633,3.40000009537,3.40000009537,3.09999990463
1611716027, ,36.800000190733,3.40000009537,3.5,3.20000004768,3.5,3.29999995232,3.70000004768,3.20000004768,3.099999904633,3.40000009537,3.40000009537,3.09999990463
1611716028, ,36.600000381473,3.40000009537,3.5,3.20000004768,3.5,3.29999995232,3.70000004768,3.20000004768,3.099999904633,3.40000009537,3.40000009537,2.90000009537
1611716029, ,36.600000381473,3.40000009537,3.5,3.20000004768,3.5,3.29999995232,3.70000004768,3.20000004768,3.099999904633,3.40000009537,3.40000009537,2.90000009537
1611716030, ,35.700000762954,2.90000009537,3.40000009537,3.20000004768,3.29999995232,3.40000009537,3.40000009537,3.40000009537,3.200000047684,3.20000004768,3.40000009537,2.90000009537
1611716031, ,35.700000524534,2.90000009537,3.40000009537,3.20000004768,3.29999995232,3.40000009537,3.40000009537,3.40000009537,3.200000047684,3.20000004768,3.29999995232,3
1611716032, ,35.700000524534,2.90000009537,3.40000009537,3.20000004768,3.29999995232,3.40000009537,3.40000009537,3.40000009537,3.200000047684,3.20000004768,3.29999995232,3
1611716033, ,35.400000095384,2.79999995232,3.29999995232,3.09999990463,3.20000004768,3.40000009537,3.29999995232,3.40000009537,3.200000047684,3.40000009537,3.29999995232,3
