Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166
Overall,1611656564,1611661472,4908, 44.8833, 1.0000, 7.5308, 7.3853, 7.3638, 7.2922, 7.6552, 7.6560
NodeBasis,1611656564,1611661472,4908, 42.5090, 0.9471, 7.4963, 6.4789, 7.2213, 6.2153, 7.6552, 7.4420
