1646263399 INTERNAL *** MONITORD_STARTED ***
1646263397 INTERNAL *** DAGMAN_STARTED 3733.0 ***
1646263401 create_dir_1000-genome_0_local SUBMIT 3734.0 local - 1
1646263403 create_dir_1000-genome_0_local EXECUTE 3734.0 local - 1
1646263405 create_dir_1000-genome_0_local JOB_TERMINATED 3734.0 local - 1
1646263406 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1646263406 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 3734.0 local - 1
1646263407 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 3734.0 local - 1
1646263411 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1646263416 stage_in_remote_local_2_0 SUBMIT 3735.0 local - 2
1646263416 stage_in_remote_local_2_0 EXECUTE 3735.0 local - 2
1646263416 stage_in_remote_local_1_0 SUBMIT 3736.0 local - 3
1646263416 stage_in_remote_local_0_0 SUBMIT 3737.0 local - 4
1646263416 stage_in_local_local_0_0 SUBMIT 3738.0 local - 5
1646263416 stage_in_local_local_2_0 SUBMIT 3739.0 local - 6
1646263418 stage_in_remote_local_2_0 JOB_TERMINATED 3735.0 local - 2
1646263421 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1646263421 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3735.0 local - 2
1646263418 stage_in_local_local_0_0 EXECUTE 3738.0 local - 5
1646263418 stage_in_local_local_2_0 EXECUTE 3739.0 local - 6
1646263418 stage_in_remote_local_0_0 EXECUTE 3737.0 local - 4
1646263418 stage_in_remote_local_1_0 EXECUTE 3736.0 local - 3
1646263420 stage_in_remote_local_1_0 JOB_TERMINATED 3736.0 local - 3
1646263421 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1646263421 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3736.0 local - 3
1646263421 stage_in_local_local_2_1 SUBMIT 3740.0 local - 7
1646263421 stage_in_remote_local_2_1 SUBMIT 3741.0 local - 8
1646263421 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3735.0 local - 2
1646263426 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1646263421 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3736.0 local - 3
1646263426 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1646263422 stage_in_local_local_0_0 JOB_TERMINATED 3738.0 local - 5
1646263426 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1646263426 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3738.0 local - 5
1646263422 stage_in_local_local_2_0 JOB_TERMINATED 3739.0 local - 6
1646263426 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1646263426 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3739.0 local - 6
