1646227969 INTERNAL *** MONITORD_STARTED ***
1646227967 INTERNAL *** DAGMAN_STARTED 3699.0 ***
1646227971 create_dir_1000-genome_0_local SUBMIT 3700.0 local - 1
1646227973 create_dir_1000-genome_0_local EXECUTE 3700.0 local - 1
1646227975 create_dir_1000-genome_0_local JOB_TERMINATED 3700.0 local - 1
1646227976 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1646227976 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 3700.0 local - 1
1646227976 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 3700.0 local - 1
1646227981 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1646227986 stage_in_remote_local_2_0 SUBMIT 3701.0 local - 2
1646227987 stage_in_remote_local_2_0 EXECUTE 3701.0 local - 2
1646227987 stage_in_remote_local_1_0 SUBMIT 3702.0 local - 3
1646227987 stage_in_remote_local_0_0 SUBMIT 3703.0 local - 4
1646227987 stage_in_local_local_0_0 SUBMIT 3704.0 local - 5
1646227987 stage_in_local_local_2_0 SUBMIT 3705.0 local - 6
1646227989 stage_in_remote_local_2_0 JOB_TERMINATED 3701.0 local - 2
1646227992 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1646227992 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3701.0 local - 2
1646227989 stage_in_local_local_2_0 EXECUTE 3705.0 local - 6
1646227989 stage_in_local_local_0_0 EXECUTE 3704.0 local - 5
1646227989 stage_in_remote_local_0_0 EXECUTE 3703.0 local - 4
1646227989 stage_in_remote_local_1_0 EXECUTE 3702.0 local - 3
1646227991 stage_in_remote_local_1_0 JOB_TERMINATED 3702.0 local - 3
1646227992 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1646227992 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3702.0 local - 3
1646227992 stage_in_local_local_2_1 SUBMIT 3706.0 local - 7
1646227992 stage_in_remote_local_2_1 SUBMIT 3707.0 local - 8
1646227992 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3701.0 local - 2
1646227997 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1646227992 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3702.0 local - 3
