Timestamp,Time,Node IP,Node ID,WaitingJobs,frequency,individuals,individuals_merge,mutation_overlap,sifting,TotalJobs,NodeActive,Energy,Utilization,comp_frequency,comp_individuals,comp_individuals_merge,comp_mutation_overlap,comp_sifting,comp_TotalJobs
1645945662, 0, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645945662, 0, 192.168.5.102, 2,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645945662, 0, 192.168.5.103, 3,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645945662, 0, 192.168.5.104, 4,0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0,0
1645945662, 0, All, -1,0, 0, 0, 0, 0, 0, 0, 0,,0,0,0,0,0,0,0
1645945663, 1, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945663, 1, 192.168.5.102, 2,0, 0, 0, 0, 0, 0, 0, 0,3.5999999046,0, 0, 0, 0, 0, 0,0
1645945663, 1, 192.168.5.103, 3,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645945663, 1, 192.168.5.104, 4,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645945663, 1, All, -1,0, 0, 0, 0, 0, 0, 0, 0,13.7000000477,0,0,0,0,0,0,0
1645945664, 2, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945664, 2, 192.168.5.102, 2,0, 0, 0, 0, 0, 0, 0, 0,3.5999999046,0, 0, 0, 0, 0, 0,0
1645945664, 2, 192.168.5.103, 3,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645945664, 2, 192.168.5.104, 4,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
1645945664, 2, All, -1,0, 0, 0, 0, 0, 0, 0, 0,13.7000000477,0,0,0,0,0,0,0
1645945665, 3, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945665, 3, 192.168.5.102, 2,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945665, 3, 192.168.5.103, 3,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945665, 3, 192.168.5.104, 4,0, 0, 0, 0, 0, 0, 0, 0,3.5999999046,0, 0, 0, 0, 0, 0,0
1645945665, 3, All, -1,0, 0, 0, 0, 0, 0, 0, 0,13.4999997615,0,0,0,0,0,0,0
1645945666, 4, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945666, 4, 192.168.5.102, 2,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945666, 4, 192.168.5.103, 3,0, 0, 0, 0, 0, 0, 0, 0,3.2999999523,0, 0, 0, 0, 0, 0,0
1645945666, 4, 192.168.5.104, 4,0, 0, 0, 0, 0, 0, 0, 0,3.5999999046,0, 0, 0, 0, 0, 0,0
1645945666, 4, All, -1,0, 0, 0, 0, 0, 0, 0, 0,13.4999997615,0,0,0,0,0,0,0
1645945667, 5, 192.168.5.101, 1,0, 0, 0, 0, 0, 0, 0, 0,3.4000000954,0, 0, 0, 0, 0, 0,0
