Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103
Overall,1645920889,1645929967,9078, 33.5076, 1.0000, 12.0150, 10.8043, 10.6883
NodeBasis,1645920889,1645929967,9078, 33.2950, 0.9937, 12.0150, 10.6246, 10.6555
