Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000037,3074.000.000,192.168.5.104,1645954436,1645954475,1645955713,1645955718,1645955718,1645955719,1645955723,39,1243,5
individuals,ID0000006,3088.000.000,192.168.5.101,1645954446,1645954472,1645955198,1645955203,1645955203,1645955203,1645955208,26,731,5
individuals,ID0000029,3117.000.000,192.168.5.101,1645954478,1645955945,1645956631,1645956634,1645956634,1645956634,1645956639,1467,689,5
stage_in_remote_local_2,0,3064.000.000,192.168.5.10,1645954415,1645954416,1645954418,1645954421,1645954421,1645954421,1645954426,1,5,5
individuals,ID0000012,3108.000.000,192.168.5.103,1645954467,1645955536,1645956573,1645956574,1645956574,1645956574,1645956579,1069,1038,5
individuals,ID0000042,3101.000.000,192.168.5.102,1645954462,1645955454,1645956397,1645956399,1645956399,1645956400,1645956404,992,945,5
individuals,ID0000033,3077.000.000,192.168.5.104,1645954436,1645954501,1645955719,1645955723,1645955723,1645955723,1645955728,65,1222,5
individuals,ID0000036,3080.000.000,192.168.5.103,1645954441,1645954498,1645955528,1645955528,1645955528,1645955528,1645955533,57,1030,5
mutation_overlap,ID0000053,3128.000.000,192.168.5.104,1645961508,1645961530,1645961740,1645961744,1645961744,1645961745,1645961749,22,214,5
frequency,ID0000056,3137.000.000,192.168.5.102,1645961519,1645961531,1645962361,1645962364,1645962364,1645962365,1645962369,12,833,5
sifting,ID0000052,3124.000.000,192.168.5.103,1645954488,1645956595,1645956596,1645956599,1645956599,1645956599,1645956604,2107,4,5
mutation_overlap,ID0000055,3131.000.000,192.168.5.103,1645961513,1645961531,1645961736,1645961739,1645961739,1645961739,1645961744,18,208,5
individuals_merge,ID0000051,3125.000.000,192.168.5.102,1645957310,1645957313,1645961493,1645961498,1645961498,1645961498,1645961503,3,4185,5
individuals,ID0000023,3119.000.000,192.168.5.102,1645954483,1645956425,1645957285,1645957290,1645957290,1645957290,1645957295,1942,865,5
mutation_overlap,ID0000059,3139.000.000,192.168.5.101,1645961519,1645961531,1645961734,1645961739,1645961739,1645961739,1645961744,12,208,5
individuals,ID0000039,3076.000.000,192.168.5.104,1645954436,1645954473,1645955710,1645955713,1645955713,1645955713,1645955718,37,1240,5
individuals,ID0000003,3095.000.000,192.168.5.101,1645954457,1645955203,1645955906,1645955908,1645955908,1645955908,1645955913,746,705,5
individuals,ID0000010,3112.000.000,192.168.5.104,1645954472,1645955764,1645956998,1645956999,1645956999,1645956999,1645957004,1292,1235,5
individuals,ID0000046,3094.000.000,192.168.5.105,1645954457,1645954919,1645955936,1645955938,1645955938,1645955938,1645955943,462,1019,5
frequency,ID0000066,3135.000.000,192.168.5.102,1645961514,1645961531,1645962316,1645962319,1645962319,1645962319,1645962324,17,788,5
stage_in_local_local_0,1,3070.000.000,192.168.5.10,1645954421,1645954422,1645954425,1645954426,1645954426,1645954426,1645954431,1,4,5
individuals,ID0000030,3081.000.000,192.168.5.103,1645954441,1645954501,1645955529,1645955533,1645955533,1645955533,1645955538,60,1032,5
individuals,ID0000024,3120.000.000,192.168.5.102,1645954483,1645956425,1645957292,1645957295,1645957295,1645957296,1645957300,1942,870,5
individuals,ID0000043,3102.000.000,192.168.5.102,1645954462,1645955460,1645956398,1645956399,1645956399,1645956400,1645956404,998,939,5
stage_in_remote_local_2,1,3072.000.000,192.168.5.10,1645954421,1645954422,1645954424,1645954426,1645954426,1645954426,1645954431,1,4,5
stage_in_remote_local_1,0,3065.000.000,192.168.5.10,1645954416,1645954418,1645954420,1645954421,1645954421,1645954421,1645954426,2,3,5
individuals,ID0000031,3082.000.000,192.168.5.102,1645954441,1645954471,1645955442,1645955443,1645955443,1645955443,1645955448,30,972,5
individuals,ID0000048,3085.000.000,192.168.5.102,1645954446,1645954502,1645955453,1645955458,1645955458,1645955458,1645955463,56,956,5
individuals,ID0000027,3115.000.000,192.168.5.101,1645954477,1645955945,1645956636,1645956639,1645956639,1645956640,1645956644,1468,694,5
individuals,ID0000050,3113.000.000,192.168.5.104,1645954472,1645955764,1645956997,1645956999,1645956999,1645956999,1645957004,1292,1235,5
individuals,ID0000047,3096.000.000,192.168.5.101,1645954457,1645955207,1645955906,1645955908,1645955908,1645955908,1645955913,750,701,5
individuals,ID0000021,3123.000.000,192.168.5.103,1645954483,1645956538,1645957155,1645957160,1645957160,1645957160,1645957165,2055,622,5
individuals,ID0000005,3086.000.000,192.168.5.101,1645954446,1645954472,1645955200,1645955203,1645955203,1645955203,1645955208,26,731,5
mutation_overlap,ID0000063,3130.000.000,192.168.5.103,1645961508,1645961531,1645961733,1645961734,1645961734,1645961734,1645961739,23,203,5
frequency,ID0000060,3126.000.000,192.168.5.104,1645961508,1645961509,1645962414,1645962419,1645962419,1645962419,1645962424,1,910,5
stage_in_local_local_2,1,3071.000.000,192.168.5.10,1645954421,1645954422,1645954426,1645954431,1645954431,1645954432,1645954436,1,9,5
individuals,ID0000049,3087.000.000,192.168.5.101,1645954446,1645954493,1645955211,1645955213,1645955213,1645955214,1645955218,47,720,5
DAGMAN,,3062.0,,1645954396,,,,,,1645962519,,,
individuals,ID0000044,3090.000.000,192.168.5.105,1645954451,1645954474,1645955503,1645955508,1645955508,1645955508,1645955513,23,1034,5
cleanup_1000-genome_0,local,3142.000.000,192.168.5.10,1645962509,1645962509,1645962511,1645962514,1645962514,1645962514,1645962519,0,5,5
individuals,ID0000001,3091.000.000,192.168.5.105,1645954451,1645954488,1645954913,1645954913,1645954913,1645954914,1645954918,37,425,5
individuals,ID0000038,3075.000.000,192.168.5.104,1645954436,1645954489,1645955723,1645955723,1645955723,1645955723,1645955728,53,1234,5
stage_in_remote_local_0,0,3066.000.000,192.168.5.10,1645954416,1645954418,1645954420,1645954421,1645954421,1645954421,1645954426,2,3,5
frequency,ID0000058,3129.000.000,192.168.5.104,1645961508,1645961530,1645962482,1645962484,1645962484,1645962485,1645962489,22,954,5
individuals,ID0000045,3092.000.000,192.168.5.105,1645954451,1645954497,1645955515,1645955518,1645955518,1645955519,1645955523,46,1021,5
