timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644534796, ,3.4000000954,3.5,3.0999999046,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.5,3.0999999046,3.4000000954
1644534797, ,3.4000000954,3.5,3.0999999046,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046,3.2999999523,2.9000000954,3.5999999046
1644534798, ,3.4000000954,3.5,3.0999999046,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046,3.2999999523,2.9000000954,3.5999999046
1644534799, ,3.2000000477,3.4000000954,3.0999999046,3.2000000477,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5,3.0999999046,3.4000000954
1644534800, ,3.2000000477,3.4000000954,3.0999999046,3.2000000477,3.4000000954,3.5,3.5,3.5,3.4000000954,3.5,3.0999999046,3.4000000954
1644534801, ,3.2000000477,3.4000000954,3.0999999046,3.2000000477,3.4000000954,3.5,3.5,3.5,3.4000000954,3.5,3.0999999046,3.4000000954
1644534802, ,3.0999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954,3.5,3.0999999046,3.4000000954
1644534803, ,3.0999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,2.9000000954,3.5999999046
1644534804, ,3.0999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,2.9000000954,3.5999999046
1644534805, ,3.0999999046,3.5,3.0999999046,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,2.9000000954,3.5999999046
1644534806, ,3.0999999046,3.5,3.0999999046,3.4000000954,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.5,3.4000000954,2.9000000954,3.5999999046
1644534807, ,3.0999999046,3.5,3.0999999046,3.4000000954,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.5,3.4000000954,2.9000000954,3.4000000954
1644534808, ,2.9000000954,3.2999999523,3.2000000477,3.2999999523,3.2000000477,3.2999999523,3.5999999046,3.2999999523,3.5999999046,3.2999999523,2.9000000954,3.4000000954
