Timestamp,Time,Node IP,Node ID,WaitingJobs,mAdd,mBackground,mBgModel,mConcatFit,mDiffFit,mImgtbl,mProject,mViewer,TotalJobs,NodeActive,Energy,Utilization,comp_mAdd,comp_mBackground,comp_mBgModel,comp_mConcatFit,comp_mDiffFit,comp_mImgtbl,comp_mProject,comp_mViewer,comp_TotalJobs
1611656394, 0, 192.168.1.161, 1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, 192.168.1.162, 2,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, 192.168.1.163, 3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, 192.168.1.164, 4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, 192.168.1.165, 5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, 192.168.1.166, 6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656394, 0, All, -1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0,0,0,0,0,0,0,0,0,0
1611656395, 1, 192.168.1.161, 1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656395, 1, 192.168.1.162, 2,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656395, 1, 192.168.1.163, 3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656395, 1, 192.168.1.164, 4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656395, 1, 192.168.1.165, 5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
1611656395, 1, 192.168.1.166, 6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,0, 0, 0, 0, 0, 0, 0, 0, 0,0
