nodes,time,energy
1,14924,22.66
2,10514,28.09
3,9155,33.72
4,8548,40.16
5,8123,46.14
6,7519,50.02
7,7542,57.81
8,7347,63.34
9,7240,69.71
10,7094,75.30
11,6853,79.14
12,6645,83.37
