nodes,time,energy
1,10484,14.34
2,8407,20.25
3,6999,24.07
4,6631,29.31
5,6352,34.31
6,6132,38.43
7,6027,44.31
8,5866,48.44
9,6071,56.22
10,6105,62.52
11,6069,67.63
12,5976,70.75
