Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162
Overall,1611607945,1611618620,10675, 37.8846, 1.0000, 18.9089, 18.9757
NodeBasis,1611607945,1611618620,10675, 37.7318, 0.9960, 18.9089, 18.8229
