Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109
Overall,1646024379,1646031544,7165, 69.0683, 1.0000, 7.9769, 7.8834, 7.5812, 7.5161, 7.3454, 7.7036, 7.3311, 7.2251, 8.5056
NodeBasis,1646024379,1646031544,7165, 40.7195, 0.5896, 2.7170, 2.7899, 6.9489, 7.2925, 1.6362, 7.7036, 1.6028, 1.5821, 8.4464
