Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
Overall,1645945703,1645954174,8471, 39.8661, 1.0000, 10.3957, 10.0713, 9.7205, 9.6787
NodeBasis,1645945703,1645954174,8471, 38.8306, 0.9740, 9.7158, 9.9823, 9.4538, 9.6787
