timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1645766082, ,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,0,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766083, ,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,0,0,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766084, ,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,0,0,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766085, ,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,0,0,3.5,3.2000000477,3.5999999046,3.4000000954,3.0999999046,3.5999999046
1645766086, ,3.4000000954,3.4000000954,3.2000000477,3.2000000477,3.5,3.4000000954,0,0,3.5,3.7000000477,3.5,3.4000000954,3.4000000954,3.4000000954
1645766087, ,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,0,0,3.2999999523,3.2999999523,3.5,3.4000000954,3.4000000954,3.4000000954
1645766088, ,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,0,0,3.2999999523,3.2999999523,3.5,3.4000000954,3.4000000954,3.4000000954
1645766089, ,3.2999999523,3.4000000954,3.7999999523,3.5,3.5,3.2999999523,0,0,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1645766090, ,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.4000000954,0,0,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1645766091, ,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.4000000954,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766092, ,3.5,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766093, ,3.5,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1645766094, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,0,0,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766095, ,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,0,0,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766096, ,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,0,0,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.2000000477,3.7999999523
1645766097, ,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,0,0,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.7999999523
1645766098, ,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,0,0,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954
1645766099, ,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,0,0,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766100, ,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5,0,0,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766101, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.5,0,0,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1645766102, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,0,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766103, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,0,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766104, ,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,0,0,3.5,3.2999999523,4.1999998093,3.2999999523,3.2999999523,3.4000000954
1645766105, ,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766106, ,3.5,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766107, ,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766108, ,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.5
1645766109, ,3.5,3.4000000954,3.4000000954,3.5,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5
1645766110, ,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5
1645766111, ,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766112, ,3.4000000954,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766113, ,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5
1645766114, ,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.4000000954,0,0,3.7000000477,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5
1645766115, ,3.2000000477,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,0,0,3.7000000477,3.2999999523,3.4000000954,3.4000000954,3.2000000477,3.0999999046
