Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
mDiffFit,ID0000181,15411.000.000,192.168.1.167,1611709078,1611709140,1611709144,1611709155,1611709155,1611709157,1611709170,62,15,15
mProject,ID0000173,15319.000.000,192.168.1.165,1611707749,1611707769,1611708845,1611708846,1611708846,1611708846,1611708851,20,1077,5
mProject,ID0000163,15320.000.000,192.168.1.165,1611707749,1611707769,1611708910,1611708918,1611708918,1611708919,1611708931,20,1149,13
mDiffFit,ID0000229,15402.000.000,192.168.1.167,1611709043,1611709104,1611709107,1611709118,1611709118,1611709119,1611709131,61,14,13
mDiffFit,ID0000273,15390.000.000,192.168.1.166,1611709004,1611709032,1611709052,1611709057,1611709057,1611709058,1611709069,28,25,12
mDiffFit,ID0000346,15449.000.000,192.168.1.167,1611709359,1611709373,1611709393,1611709403,1611709403,1611709406,1611709420,14,30,17
mBackground,ID0000296,15698.000.000,192.168.1.165,1611710752,1611710767,1611710819,1611710831,1611710831,1611710832,1611710846,15,64,15
mDiffFit,ID0000361,15474.000.000,192.168.1.161,1611709504,1611709596,1611709609,1611709618,1611709618,1611709622,1611709635,92,22,17
mDiffFit,ID0000377,15461.000.000,192.168.1.166,1611709429,1611709467,1611709471,1611709479,1611709479,1611709480,1611709493,38,12,14
clean_up_local_level,6_7,15830.000.000,192.168.1.4,1611711562,1611711566,1611711578,1611711580,1611711580,1611711581,1611711594,4,14,14
mDiffFit,ID0000269,15635.000.000,192.168.1.168,1611710430,1611710460,1611710489,1611710499,1611710499,1611710500,1611710513,30,39,14
mDiffFit,ID0000420,15491.000.000,192.168.1.166,1611709611,1611709696,1611709713,1611709723,1611709723,1611709724,1611709738,85,27,15
mDiffFit,ID0000105,15583.000.000,192.168.1.165,1611710177,1611710195,1611710198,1611710208,1611710208,1611710209,1611710221,18,13,13
mDiffFit,ID0000379,15517.000.000,192.168.1.166,1611709758,1611709836,1611709847,1611709856,1611709856,1611709858,1611709869,78,20,13
mDiffFit,ID0000448,15481.000.000,192.168.1.161,1611709548,1611709635,1611709670,1611709682,1611709682,1611709685,1611709696,87,47,14
mDiffFit,ID0000049,15740.000.000,192.168.1.165,1611710986,1611711047,1611711088,1611711096,1611711096,1611711100,1611711109,61,49,13
mProject,ID0000162,15340.000.000,192.168.1.169,1611707786,1611707791,1611708890,1611708894,1611708894,1611708896,1611708901,5,1103,7
mDiffFit,ID0000267,15412.000.000,192.168.1.167,1611709081,1611709153,1611709159,1611709170,1611709170,1611709171,1611709184,72,17,14
mDiffFit,ID0000132,15571.000.000,192.168.1.161,1611710094,1611710130,1611710136,1611710145,1611710145,1611710147,1611710158,36,15,13
mProject,ID0000008,15329.000.000,192.168.1.166,1611707762,1611707774,1611709630,1611709635,1611709635,1611709637,1611709651,12,1861,16
mDiffFit,ID0000284,15632.000.000,192.168.1.165,1611710417,1611710429,1611710435,1611710447,1611710447,1611710448,1611710460,12,18,13
mDiffFit,ID0000352,15464.000.000,192.168.1.161,1611709445,1611709476,1611709483,1611709493,1611709493,1611709497,1611709509,31,17,16
clean_up_local_level,0_3,15693.000.000,192.168.1.4,1611710729,1611710739,1611710753,1611710756,1611710756,1611710758,1611710770,10,17,14
mDiffFit,ID0000428,15480.000.000,192.168.1.170,1611709537,1611709654,1611709685,1611709696,1611709696,1611709699,1611709711,117,42,15
mDiffFit,ID0000223,15442.000.000,192.168.1.167,1611709192,1611709336,1611709349,1611709350,1611709350,1611709353,1611709360,144,14,10
mDiffFit,ID0000209,15636.000.000,192.168.1.165,1611710431,1611710460,1611710469,1611710472,1611710472,1611710474,1611710484,29,12,12
mDiffFit,ID0000293,15372.000.000,192.168.1.166,1611708910,1611708934,1611708947,1611708959,1611708959,1611708960,1611708971,24,25,12
stage_in_remote_local,0_1,15299.000.000,192.168.1.4,1611707594,1611707599,1611707601,1611707606,1611707606,1611707606,1611707611,5,7,5
clean_up_local_level,1_7,15836.000.000,192.168.1.4,1611711586,1611711594,1611711608,1611711610,1611711610,1611711611,1611711615,8,16,5
clean_up_local_level,8_7,15726.000.000,192.168.1.4,1611710920,1611710922,1611710936,1611710941,1611710941,1611710942,1611710954,2,19,13
register_local,20_1,15773.000.000,192.168.1.4,1611711173,1611711176,1611711185,1611711194,1611711194,1611711196,1611711211,3,18,17
mDiffFit,ID0000078,15593.000.000,192.168.1.165,1611710228,1611710249,1611710252,1611710258,1611710258,1611710260,1611710271,21,9,13
mBackground,ID0000300,15703.000.000,192.168.1.161,1611710766,1611710814,1611710890,1611710900,1611710900,1611710901,1611710913,48,86,13
mDiffFit,ID0000019,15595.000.000,192.168.1.168,1611710242,1611710256,1611710261,1611710271,1611710271,1611710272,1611710283,14,15,12
mDiffFit,ID0000242,15397.000.000,192.168.1.167,1611709033,1611709068,1611709086,1611709093,1611709093,1611709094,1611709106,35,25,13
mDiffFit,ID0000028,15566.000.000,192.168.1.166,1611710060,1611710105,1611710117,1611710131,1611710131,1611710134,1611710145,45,26,14
mProject,ID0000316,15328.000.000,192.168.1.161,1611707762,1611707774,1611709292,1611709295,1611709295,1611709298,1611709301,12,1521,6
mDiffFit,ID0000363,15470.000.000,192.168.1.165,1611709486,1611709523,1611709584,1611709591,1611709591,1611709595,1611709603,37,68,12
mProject,ID0000015,15325.000.000,192.168.1.161,1611707756,1611707772,1611709605,1611709617,1611709617,1611709620,1611709635,16,1845,18
mDiffFit,ID0000070,15619.000.000,192.168.1.168,1611710355,1611710370,1611710372,1611710382,1611710382,1611710384,1611710396,15,12,14
mProject,ID0000168,15323.000.000,192.168.1.168,1611707756,1611707771,1611708864,1611708867,1611708867,1611708868,1611708877,15,1096,10
mDiffFit,ID0000175,15647.000.000,192.168.1.161,1611710496,1611710516,1611710518,1611710524,1611710524,1611710526,1611710537,20,8,13
mDiffFit,ID0000039,15546.000.000,192.168.1.170,1611709934,1611710011,1611710018,1611710023,1611710023,1611710026,1611710035,77,12,12
mDiffFit,ID0000179,15405.000.000,192.168.1.170,1611709055,1611709109,1611709112,1611709118,1611709118,1611709120,1611709131,54,9,13
mProject,ID0000318,15318.000.000,192.168.1.165,1611707748,1611707750,1611709346,1611709350,1611709350,1611709351,1611709360,2,1600,10
mBackground,ID0000306,15705.000.000,192.168.1.161,1611710777,1611710818,1611710892,1611710900,1611710900,1611710903,1611710913,41,82,13
stage_in_remote_local,1_0,15308.000.000,192.168.1.4,1611707606,1611707606,1611707609,1611707611,1611707611,1611707612,1611707618,0,5,7
mDiffFit,ID0000211,15644.000.000,192.168.1.168,1611710479,1611710505,1611710516,1611710524,1611710524,1611710525,1611710537,26,19,13
mDiffFit,ID0000240,15660.000.000,192.168.1.165,1611710560,1611710584,1611710594,1611710600,1611710600,1611710601,1611710614,24,16,14
mDiffFit,ID0000196,15427.000.000,192.168.1.167,1611709138,1611709234,1611709239,1611709243,1611709243,1611709244,1611709249,96,9,6
mProject,ID0000317,15337.000.000,192.168.1.169,1611707780,1611707791,1611709323,1611709329,1611709329,1611709330,1611709335,11,1538,6
mViewer,ID0000157,15851.000.000,192.168.1.161,1611711699,1611711702,1611711728,1611711732,1611711732,1611711732,1611711737,3,30,5
mAdd,ID0000156,15843.000.000,192.168.1.161,1611711621,1611711661,1611711684,1611711688,1611711688,1611711688,1611711693,40,27,5
mDiffFit,ID0000222,15369.000.000,192.168.1.165,1611708901,1611708934,1611708937,1611708945,1611708945,1611708946,1611708959,33,11,14
register_local,9_1,15631.000.000,192.168.1.4,1611710415,1611710420,1611710423,1611710433,1611710433,1611710436,1611710447,5,13,14
register_local,10_1,15620.000.000,192.168.1.4,1611710364,1611710369,1611710374,1611710382,1611710382,1611710385,1611710396,5,13,14
