Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170
Overall,1611707748,1611711774,4026, 55.6481, 1.0000, 5.5147, 5.3066, 5.3758, 5.4348, 6.1302, 5.5939, 5.2548, 5.7409, 5.9721, 5.3242
NodeBasis,1611707748,1611711774,4026, 47.1765, 0.8478, 5.4754, 3.3160, 4.9316, 3.8834, 6.1302, 5.3996, 3.7426, 5.5551, 4.7477, 3.9949
