timestamp, ,total_energy,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170
1611709549, ,46.200000047695,3.40000009537,5,4.90000009537,5.69999980927,5.09999990463,4.40000009537,3.40000009537,5.699999809265,5.30000019073,3.29999995232
1611709550, ,46.200000047685,4.09999990463,4.30000019073,4.90000009537,5.69999980927,5.09999990463,4.40000009537,3.40000009537,5.699999809265,5.30000019073,3.29999995232
1611709551, ,46.200000047685,4.09999990463,4.30000019073,4.90000009537,5.69999980927,5.09999990463,4.40000009537,3.40000009537,5.699999809265,5.30000019073,3.29999995232
1611709552, ,46.00000023842,4.09999990463,4.30000019073,4.19999980927,5.19999980927,5.80000019073,4.30000019073,4.40000009537,5,5.40000009537,3.29999995232
1611709553, ,45.70000052453,3.40000009537,4.40000009537,4.5,5.19999980927,5.80000019073,4.30000019073,4.40000009537,5,5.40000009537,3.29999995232
1611709554, ,45.30000042917,3.40000009537,4.40000009537,4.5,5.19999980927,5.40000009537,4.30000019073,4.40000009537,5,5.40000009537,3.29999995232
1611709555, ,45.100000381487,3.40000009537,4.40000009537,4.5,5.19999980927,5.40000009537,4.80000019073,3.79999995232,4.900000095367,5.40000009537,3.29999995232
1611709556, ,44.199999809267,3.09999990463,4.5,4.19999980927,5.09999990463,5.09999990463,4.80000019073,3.79999995232,4.900000095367,5.40000009537,3.29999995232
1611709557, ,44.199999809267,3.09999990463,4.5,4.19999980927,5.09999990463,5.09999990463,4.80000019073,3.79999995232,4.900000095367,5.40000009537,3.29999995232
1611709558, ,43.89999985695,3.5,4.5,4.19999980927,5.09999990463,5.09999990463,4.30000019073,3.5,5,5.40000009537,3.29999995232
1611709559, ,43.89999985695,3.5,4.5,4.19999980927,5.09999990463,5.09999990463,4.30000019073,3.5,5,5.40000009537,3.29999995232
1611709560, ,43.20000004768,3.5,4.19999980927,3.59999990463,5.09999990463,5.30000019073,4.30000019073,3.5,5,5.40000009537,3.29999995232
1611709561, ,45.000000238417,3.79999995232,4.40000009537,3.59999990463,5.09999990463,5.30000019073,4.5,3.40000009537,4.900000095367,6.59999990463,3.40000009537
1611709562, ,45.000000238417,3.79999995232,4.40000009537,3.59999990463,5.09999990463,5.30000019073,4.5,3.40000009537,4.900000095367,6.59999990463,3.40000009537
1611709563, ,45.100000143057,3.79999995232,4.40000009537,3.59999990463,5.30000019073,5.19999980927,4.5,3.40000009537,4.900000095367,6.59999990463,3.40000009537
1611709564, ,44.199999809263,3.59999990463,4.19999980927,3.79999995232,5.09999990463,6.09999990463,4.40000009537,3.20000004768,5.099999904633,5.30000019073,3.40000009537
