Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164
Overall,1611643453,1611649837,6384, 41.7107, 1.0000, 10.5940, 10.4444, 10.3357, 10.3366
NodeBasis,1611643453,1611649837,6384, 41.1178, 0.9858, 10.5940, 10.2698, 10.1325, 10.1215
