Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167
Overall,1611662444,1611667218,4774, 48.3290, 1.0000, 6.8820, 7.0632, 6.7499, 6.6124, 7.1214, 6.7733, 7.1268
NodeBasis,1611662444,1611667218,4774, 46.2012, 0.9560, 6.8408, 5.9964, 6.5924, 6.3838, 7.1214, 6.5589, 6.7076
