1645051645 INTERNAL *** MONITORD_STARTED ***
1645051643 INTERNAL *** DAGMAN_STARTED 2082.0 ***
1645051647 create_dir_1000-genome_0_local SUBMIT 2083.0 local - 1
1645051648 create_dir_1000-genome_0_local EXECUTE 2083.0 local - 1
1645051650 create_dir_1000-genome_0_local JOB_TERMINATED 2083.0 local - 1
1645051652 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1645051652 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 2083.0 local - 1
1645051652 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 2083.0 local - 1
1645051657 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1645051662 stage_in_remote_local_2_0 SUBMIT 2084.0 local - 2
1645051662 stage_in_remote_local_2_0 EXECUTE 2084.0 local - 2
1645051662 stage_in_remote_local_1_0 SUBMIT 2085.0 local - 3
1645051662 stage_in_remote_local_0_0 SUBMIT 2086.0 local - 4
1645051662 stage_in_local_local_0_0 SUBMIT 2087.0 local - 5
1645051663 stage_in_local_local_2_0 SUBMIT 2088.0 local - 6
1645051665 stage_in_remote_local_2_0 JOB_TERMINATED 2084.0 local - 2
1645051668 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1645051668 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 2084.0 local - 2
1645051665 stage_in_local_local_2_0 EXECUTE 2088.0 local - 6
1645051665 stage_in_local_local_0_0 EXECUTE 2087.0 local - 5
1645051665 stage_in_remote_local_0_0 EXECUTE 2086.0 local - 4
1645051665 stage_in_remote_local_1_0 EXECUTE 2085.0 local - 3
1645051667 stage_in_local_local_0_0 JOB_TERMINATED 2087.0 local - 5
1645051668 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1645051668 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2087.0 local - 5
1645051667 stage_in_remote_local_0_0 JOB_TERMINATED 2086.0 local - 4
1645051668 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1645051668 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 2086.0 local - 4
1645051667 stage_in_remote_local_1_0 JOB_TERMINATED 2085.0 local - 3
1645051668 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1645051668 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2085.0 local - 3
1645051668 stage_in_remote_local_0_1 SUBMIT 2089.0 local - 7
1645051668 stage_in_local_local_0_1 SUBMIT 2090.0 local - 8
1645051668 stage_in_local_local_2_1 SUBMIT 2091.0 local - 9
1645051668 stage_in_remote_local_2_1 SUBMIT 2092.0 local - 10
1645051668 stage_in_local_local_0_2 SUBMIT 2093.0 local - 11
1645051668 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 2086.0 local - 4
1645051673 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1645051668 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2087.0 local - 5
1645051673 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1645051668 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 2084.0 local - 2
1645051673 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1645051668 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 2085.0 local - 3
1645051673 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1645051669 stage_in_local_local_2_0 JOB_TERMINATED 2088.0 local - 6
1645051673 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1645051673 stage_in_local_local_2_0 POST_SCRIPT_STARTED 2088.0 local - 6
1645051669 stage_in_local_local_0_2 EXECUTE 2093.0 local - 11
1645051669 stage_in_remote_local_2_1 EXECUTE 2092.0 local - 10
1645051669 stage_in_local_local_2_1 EXECUTE 2091.0 local - 9
1645051669 stage_in_local_local_0_1 EXECUTE 2090.0 local - 8
1645051669 stage_in_remote_local_0_1 EXECUTE 2089.0 local - 7
1645051671 stage_in_local_local_0_2 JOB_TERMINATED 2093.0 local - 11
1645051673 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 11
1645051673 stage_in_local_local_0_2 POST_SCRIPT_STARTED 2093.0 local - 11
1645051671 stage_in_remote_local_2_1 JOB_TERMINATED 2092.0 local - 10
1645051673 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 10
1645051673 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2092.0 local - 10
1645051671 stage_in_remote_local_0_1 JOB_TERMINATED 2089.0 local - 7
1645051673 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 7
1645051673 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 2089.0 local - 7
1645051672 stage_in_local_local_0_1 JOB_TERMINATED 2090.0 local - 8
1645051673 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 8
1645051673 stage_in_local_local_0_1 POST_SCRIPT_STARTED 2090.0 local - 8
1645051673 stage_in_local_local_2_1 JOB_TERMINATED 2091.0 local - 9
1645051678 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 9
1645051678 stage_in_local_local_2_1 POST_SCRIPT_STARTED 2091.0 local - 9
1645051673 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 2090.0 local - 8
1645051678 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 8
1645051673 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 2089.0 local - 7
1645051678 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 7
1645051673 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 2088.0 local - 6
1645051678 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1645051673 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 2092.0 local - 10
1645051678 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 10
1645051673 stage_in_local_local_0_2 POST_SCRIPT_TERMINATED 2093.0 local - 11
1645051678 stage_in_local_local_0_2 POST_SCRIPT_SUCCESS 0 local - 11
1645051678 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 2091.0 local - 9
1645051683 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 9
1645051683 individuals_ID0000037 SUBMIT 2094.0 condorpool - 12
1645051683 individuals_ID0000038 SUBMIT 2095.0 condorpool - 13
1645051683 individuals_ID0000039 SUBMIT 2096.0 condorpool - 14
