timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,Total_Energy
timestamp,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,p192.168.1.168,192.168.1.169,192.168.1.170,192.168.1.171,192.168.1.172,Total_Energy
1611702294,3.40000009537,3.5,3.09999990463,3.40000009537,3.40000009537,3.29999995232,3.29999995232,3.099999904633,3.5,3.29999995232,3.40000009537,3.29999995232,40
1611702295,3.40000009537,3.5,3.09999990463,3.40000009537,3.40000009537,3.29999995232,3.29999995232,3.099999904633,3.5,3.29999995232,3.40000009537,3.29999995232,40
1611702296,3.40000009537,3.5,3.09999990463,3.40000009537,3.40000009537,3.20000004768,3.40000009537,3.700000047684,3.40000009537,3.29999995232,3.40000009537,3.29999995232,40.50000047683716
1611702297,3.40000009537,3.29999995232,3.09999990463,3.40000009537,3.40000009537,3.20000004768,3.40000009537,3.700000047684,3.40000009537,3.29999995232,3.09999990463,3.09999990463,39.80000019073486
1611702298,3.40000009537,3.29999995232,3.09999990463,3.40000009537,3.40000009537,3.20000004768,3.40000009537,3.700000047684,3.40000009537,3.29999995232,3.09999990463,3.09999990463,39.80000019073486
1611702299,3.20000004768,3.20000004768,3.20000004768,3.29999995232,3.40000009537,3.5,3.40000009537,3.299999952316,3.79999995232,3.29999995232,3.09999990463,3.09999990463,39.799999952316284
1611702300,3.20000004768,3.20000004768,3.20000004768,3.29999995232,3.29999995232,3.5,3.40000009537,3.299999952316,3.79999995232,3.29999995232,3.40000009537,3.29999995232,40.200000047683716
1611702301,3.20000004768,3.20000004768,3.20000004768,3.29999995232,3.29999995232,3.5,3.40000009537,3.299999952316,3.79999995232,3.29999995232,3.40000009537,3.29999995232,40.200000047683716
1611702302,3.20000004768,3.20000004768,3.20000004768,3.29999995232,3.29999995232,3.40000009537,3.29999995232,3.099999904633,3.5,3.29999995232,3.40000009537,3.29999995232,39.5
1611702303,3.29999995232,3.40000009537,3.20000004768,3.20000004768,3.09999990463,3.40000009537,3.29999995232,3.099999904633,3.5,3.29999995232,3.29999995232,3.40000009537,39.5
1611702304,3.29999995232,3.40000009537,3.20000004768,3.20000004768,3.09999990463,3.40000009537,3.29999995232,3.099999904633,3.5,3.29999995232,3.29999995232,3.40000009537,39.5
1611702305,3.20000004768,3.5,3.09999990463,3.40000009537,3.09999990463,3.40000009537,3.40000009537,3.200000047684,3.29999995232,3.29999995232,3.29999995232,3.40000009537,39.60000014305115
1611702306,3.20000004768,3.5,3.09999990463,3.40000009537,3.09999990463,3.40000009537,3.40000009537,3.200000047684,3.29999995232,3.29999995232,3.29999995232,3.09999990463,39.299999952316284
1611702307,3.20000004768,3.5,3.09999990463,3.40000009537,3.09999990463,3.40000009537,3.40000009537,3.200000047684,3.29999995232,3.29999995232,3.29999995232,3.09999990463,39.299999952316284
1611702308,3.40000009537,3.59999990463,3.09999990463,3.40000009537,3.40000009537,3.40000009537,3.29999995232,3.299999952316,3.29999995232,3.29999995232,3.29999995232,3.09999990463,39.89999985694885
