Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169
Overall,1611702451,1611706757,4306, 54.0713, 1.0000, 6.1251, 5.8437, 5.5115, 5.7124, 6.1912, 6.1876, 5.8889, 6.6158, 5.9952
NodeBasis,1611702451,1611706757,4306, 48.2079, 0.8916, 6.0796, 5.0811, 4.2127, 4.4125, 6.1912, 6.0028, 4.7578, 6.3893, 5.0808
