timestamp, ,total_energy,192.168.1.161,192.168.1.162
1611607778, ,0,\N,\N
1611607779, ,3.199999928475,1.549999952315,1.64999997616
1611607780, ,6.39999985695,3.09999990463,3.29999995232
1611607781, ,6.39999985695,3.09999990463,3.29999995232
1611607782, ,6.39999985695,3.09999990463,3.29999995232
1611607783, ,6.80000019074,3.40000009537,3.40000009537
1611607784, ,6.80000019074,3.40000009537,3.40000009537
1611607785, ,6.5,3.09999990463,3.40000009537
1611607786, ,6.5,3.09999990463,3.40000009537
1611607787, ,6.5,3.09999990463,3.40000009537
1611607788, ,6.29999995232,3,3.29999995232
1611607789, ,6.29999995232,3,3.29999995232
1611607790, ,6.29999995232,3,3.29999995232
1611607791, ,6.20000004769,2.90000009537,3.29999995232
1611607792, ,6.20000004769,2.90000009537,3.29999995232
1611607793, ,6.29999995232,3,3.29999995232
1611607794, ,6.29999995232,3,3.29999995232
1611607795, ,6.29999995232,3,3.29999995232
1611607796, ,6.29999995232,3,3.29999995232
1611607797, ,6.80000019074,3.40000009537,3.40000009537
1611607798, ,6.80000019074,3.40000009537,3.40000009537
1611607799, ,6.80000019074,3.40000009537,3.40000009537
1611607800, ,6.79999995232,3.5,3.29999995232
1611607801, ,6.79999995232,3.5,3.29999995232
1611607802, ,6.70000004769,3.29999995232,3.40000009537
1611607803, ,6.70000004769,3.29999995232,3.40000009537
1611607804, ,6.70000004769,3.29999995232,3.40000009537
1611607805, ,6.70000004769,3.29999995232,3.40000009537
1611607806, ,6.70000004769,3.29999995232,3.40000009537
1611607807, ,6.70000004769,3.29999995232,3.40000009537
1611607808, ,6.90000009537,3.40000009537,3.5
1611607809, ,6.90000009537,3.40000009537,3.5
1611607810, ,6.70000004769,3.29999995232,3.40000009537
1611607811, ,6.70000004769,3.29999995232,3.40000009537
1611607812, ,6.80000019074,3.40000009537,3.40000009537
1611607813, ,6.60000014305,3.40000009537,3.20000004768
1611607814, ,6.60000014305,3.40000009537,3.20000004768
1611607815, ,6.60000014305,3.40000009537,3.20000004768
1611607816, ,6.70000004769,3.40000009537,3.29999995232
1611607817, ,6.70000004769,3.40000009537,3.29999995232
1611607818, ,6.40000009537,3,3.40000009537
1611607819, ,6.40000009537,3,3.40000009537
1611607820, ,6.40000009537,3,3.40000009537
1611607821, ,6.70000004769,3.29999995232,3.40000009537
1611607822, ,6.70000004769,3.29999995232,3.40000009537
1611607823, ,6.80000019074,3.40000009537,3.40000009537
1611607824, ,6.80000019074,3.40000009537,3.40000009537
1611607825, ,6.80000019074,3.40000009537,3.40000009537
1611607826, ,6.5,3.29999995232,3.20000004768
1611607827, ,6.5,3.29999995232,3.20000004768
1611607828, ,6.5,3.29999995232,3.20000004768
1611607829, ,6.89999985695,3.29999995232,3.59999990463
1611607830, ,6.89999985695,3.29999995232,3.59999990463
1611607831, ,6.89999985695,3.29999995232,3.59999990463
1611607832, ,6.89999985695,3.29999995232,3.59999990463
1611607833, ,6.70000004769,3.29999995232,3.40000009537
1611607834, ,6.70000004769,3.29999995232,3.40000009537
1611607835, ,6.70000004769,3.29999995232,3.40000009537
1611607836, ,6.70000004769,3.29999995232,3.40000009537
1611607837, ,6.60000014305,3.40000009537,3.20000004768
1611607838, ,6.60000014305,3.40000009537,3.20000004768
1611607839, ,6.60000014305,3.40000009537,3.20000004768
1611607840, ,6.70000004769,3.29999995232,3.40000009537
1611607841, ,6.70000004769,3.29999995232,3.40000009537
1611607842, ,6.70000004769,3.29999995232,3.40000009537
1611607843, ,6.79999995232,3.29999995232,3.5
1611607844, ,6.79999995232,3.29999995232,3.5
1611607845, ,6.79999995232,3.29999995232,3.5
1611607846, ,6.70000004769,3.29999995232,3.40000009537
1611607847, ,6.70000004769,3.29999995232,3.40000009537
1611607848, ,6.90000009537,3.40000009537,3.5
1611607849, ,6.90000009537,3.40000009537,3.5
1611607850, ,6.90000009537,3.40000009537,3.5
1611607851, ,6.60000014305,3.40000009537,3.20000004768
1611607852, ,6.60000014305,3.40000009537,3.20000004768
1611607853, ,6.60000014305,3.40000009537,3.20000004768
1611607854, ,6.5,3.29999995232,3.20000004768
1611607855, ,6.5,3.29999995232,3.20000004768
1611607856, ,6.5,3.29999995232,3.20000004768
1611607857, ,6.79999995232,3.29999995232,3.5
1611607858, ,6.79999995232,3.29999995232,3.5
1611607859, ,7,3.5,3.5
1611607860, ,7,3.5,3.5
1611607861, ,7,3.5,3.5
1611607862, ,6.39999985695,3.09999990463,3.29999995232
1611607863, ,6.39999985695,3.09999990463,3.29999995232
1611607864, ,6.39999985695,3.09999990463,3.29999995232
1611607865, ,6.20000004768,3,3.20000004768
1611607866, ,6.20000004768,3,3.20000004768
1611607867, ,6.20000004768,3,3.20000004768
1611607868, ,6.40000009537,3,3.40000009537
1611607869, ,6.40000009537,3,3.40000009537
1611607870, ,6.40000009537,3,3.40000009537
1611607871, ,6.40000009537,2.90000009537,3.5
1611607872, ,6.40000009537,2.90000009537,3.5
1611607873, ,6.59999990463,3.09999990463,3.5
1611607874, ,6.59999990463,3.09999990463,3.5
1611607875, ,6.5,3.09999990463,3.40000009537
1611607876, ,6.5,3.09999990463,3.40000009537
1611607877, ,6.5,3.09999990463,3.40000009537
1611607878, ,6.5,3.09999990463,3.40000009537
1611607879, ,6.5,3.09999990463,3.40000009537
1611607880, ,6.5,3.09999990463,3.40000009537
1611607881, ,6.5,3,3.5
1611607882, ,6.5,3,3.5
1611607883, ,6.5,3,3.5
1611607884, ,6.79999995232,3.5,3.29999995232
1611607885, ,6.79999995232,3.5,3.29999995232
