Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109
1646024340,0,30.9000003339,3.4000000954,3.5,3.4000000954,3.2000000477,3.5,3.5,3.4000000954,3.2000000477,3.7999999523
1646024341,1,30.9000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954,3.2000000477,3.7999999523
1646024342,2,30.8000001908,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.2000000477,3.7999999523
1646024343,3,31,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.5999999046
1646024344,4,31.5999999046,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5999999046
1646024345,5,31.2000000477,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.5999999046
1646024346,6,31.2000000477,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.5999999046
1646024347,7,31.0000002385,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5999999046
1646024348,8,30.7000002862,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954
1646024349,9,30.6000003816,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954
1646024350,10,30.7000002862,3.4000000954,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954
1646024351,11,30.6000001431,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5
1646024352,12,30.6000001431,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5
1646024353,13,30.9000003339,3.2999999523,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.5,3.4000000954,3.5
1646024354,14,31.1000003816,3.2999999523,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1646024355,15,31.1000006201,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1646024356,16,31.3000004293,3.4000000954,3.5,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1646024357,17,30.9000003339,3.4000000954,3.5,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5
1646024358,18,30.7999999523,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.4000000954,3.2999999523,3.5
1646024359,19,30.7999999523,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.4000000954,3.2999999523,3.5
1646024360,20,30.7999999523,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.5,3.2000000477,3.5
1646024361,21,31.1000001431,3.2999999523,3.4000000954,3.2999999523,3.4000000954,4,3.5,3.5,3.2000000477,3.5
1646024362,22,31.8000001908,3.2999999523,3.4000000954,3.2999999523,3.4000000954,4,3.5,3.5,3.5,3.9000000954
1646024363,23,31.3000001908,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954
1646024364,24,31.3000001908,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954
1646024365,25,31.3000001908,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954
1646024366,26,31.3000004293,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.7000000477
1646024367,27,31.3000004293,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.7000000477
1646024368,28,31.7000002862,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.5999999046,3.5,3.7000000477
1646024369,29,30.7999999523,3.5,3.5,3.4000000954,3.4000000954,3.0999999046,3.5,3.5999999046,3.2999999523,3.5
1646024370,30,30.7999999523,3.5,3.5,3.4000000954,3.4000000954,3.0999999046,3.5,3.5999999046,3.2999999523,3.5
1646024371,31,30.7000000477,3.5,3.5,3.4000000954,3.4000000954,3.0999999046,3.5,3.5,3.2999999523,3.5
1646024372,32,31,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,3.5,3.5,3.2999999523,3.7000000477
1646024373,33,31,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,3.5,3.5,3.2999999523,3.7000000477
1646024374,34,31.0999999046,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.4000000954,3.7999999523
1646024375,35,31.0999999046,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.4000000954,3.7999999523
1646024376,36,31.1000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.7999999523
1646024377,37,30.8000001908,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.7000000477
1646024378,38,31.2000000477,3.5,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523,3.2000000477,3.7000000477
1646024379,39,31.2000000477,3.5,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523,3.2000000477,3.7000000477
1646024380,40,31.2000000477,3.5,3.5999999046,3.5,3.5,3.4000000954,3.5,3.5,3.2000000477,3.5
1646024381,41,30.5,3.5,3.2999999523,3.2999999523,3.2000000477,3.5,3.5,3.5,3.2000000477,3.5
1646024382,42,30.6000001431,3.5,3.2999999523,3.2999999523,3.2000000477,3.5,3.5,3.5,3.4000000954,3.4000000954
1646024383,43,30.6000001431,3.5,3.2999999523,3.2999999523,3.2000000477,3.5,3.5,3.5,3.4000000954,3.4000000954
1646024384,44,31.6000003816,3.2000000477,3.5,4,3.7000000477,3.5,3.4000000954,3.5,3.4000000954,3.4000000954
1646024385,45,31.6000003816,3.2000000477,3.5,4,3.7000000477,3.5,3.4000000954,3.5,3.4000000954,3.4000000954
1646024386,46,30.9000003339,3.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1646024387,47,30.9000003339,3.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1646024388,48,30.9000003339,3.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1646024389,49,30.9000003339,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.5
1646024390,50,30.9000003339,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.5
1646024391,51,31.0000002385,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.5
1646024392,52,30.5000002385,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954
1646024393,53,30.5000002385,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954
1646024394,54,30.9000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.4000000954,3.5999999046
1646024395,55,31.0000002385,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5999999046
1646024396,56,31.0000002385,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5999999046
