nodes,time,energy
1,17229,5.965131006
2,11182,10.64283924
3,8755,15.02140162
4,8383,18.72848615
5,8314,21.82147586
6,7018,26.07896463
7,5714,30.84132072
8,5978,33.94727942
9,5612,37.10529695
10,5651,41.33503365
11,5657,44.37009908
12,5701,47.60883076
