nodes,time,Energy
1,19013,5.680041066
2,12229,10.36815912
3,10256,14.34535962
4,9308,18.08583719
5,8734,21.86684621
6,8541,25.20403141
7,7740,28.89806026
8,7832,32.40360383
9,7887,35.77180203
10,7654,39.03094927
11,7493,42.48258082
12,7446,46.0669086
