nodes,time,energy
1,21455,5.399771391
2,14602,9.728482314
3,12384,13.5962499
4,11496,17.17769264
5,11602,20.47737037
6,10395,24.27371208
7,10535,27.72257482
8,10143,31.24657588
9,9668,34.83720497
10,9332,37.94753835
11,9412,41.53898756
12,9466,44.83506027
