Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170,192.168.1.171,192.168.1.172
Overall,1612335889,1612340295,4406, 67.8597, 1.0000, 5.7826, 5.6332, 5.8106, 5.4747, 5.7602, 5.5826, 5.9246, 5.7680, 5.6106, 5.6894, 5.3678, 5.4555
NodeBasis,1612335889,1612340295,4406, 53.1043, 0.7826, 4.6050, 3.4894, 5.8106, 5.2303, 5.4980, 3.4719, 5.6780, 5.3327, 3.3408, 3.5432, 3.3545, 3.7500
