Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
register_local,30_1,20060.000.000,192.168.1.4,1612339766,1612339769,1612339778,1612339784,1612339784,1612339785,1612339800,3,15,16
mDiffFit,ID0000242,19672.000.000,192.168.1.171,1612337408,1612337445,1612337480,1612337490,1612337490,1612337491,1612337503,37,45,13
mDiffFit,ID0000422,19831.000.000,192.168.1.164,1612338378,1612338401,1612338410,1612338414,1612338414,1612338417,1612338426,23,13,12
clean_up_local_level,0_10,20133.000.000,192.168.1.4,1612340306,1612340306,1612340321,1612340322,1612340322,1612340322,1612340328,0,16,6
register_local,13_1,20097.000.000,192.168.1.4,1612339987,1612339992,1612340003,1612340007,1612340007,1612340007,1612340015,5,15,8
stage_in_remote_local,0_3,19581.000.000,192.168.1.4,1612335800,1612335804,1612335809,1612335811,1612335811,1612335811,1612335818,4,7,7
mDiffFit,ID0000085,19969.000.000,192.168.1.168,1612339192,1612339277,1612339307,1612339315,1612339315,1612339317,1612339327,85,38,12
mProject,ID0000011,19615.000.000,192.168.1.166,1612335922,1612335935,1612338071,1612338071,1612338071,1612338075,1612338084,13,2136,13
mDiffFit,ID0000098,19916.000.000,192.168.1.167,1612338865,1612338918,1612338924,1612338932,1612338932,1612338934,1612338945,53,14,13
mDiffFit,ID0000270,19706.000.000,192.168.1.164,1612337609,1612337624,1612337634,1612337643,1612337643,1612337645,1612337658,15,19,15
mDiffFit,ID0000224,19682.000.000,192.168.1.169,1612337463,1612337494,1612337500,1612337503,1612337503,1612337506,1612337517,31,9,14
mDiffFit,ID0000185,19649.000.000,192.168.1.165,1612337264,1612337307,1612337312,1612337317,1612337317,1612337319,1612337331,43,10,14
mDiffFit,ID0000231,19700.000.000,192.168.1.171,1612337578,1612337595,1612337616,1612337627,1612337627,1612337628,1612337643,17,32,16
clean_up_local_level,0_5,20075.000.000,192.168.1.4,1612339880,1612339881,1612339898,1612339905,1612339905,1612339906,1612339914,1,24,9
stage_in_remote_local,0_7,19577.000.000,192.168.1.4,1612335794,1612335799,1612335802,1612335805,1612335805,1612335805,1612335811,5,6,6
mDiffFit,ID0000272,19704.000.000,192.168.1.165,1612337597,1612337615,1612337624,1612337627,1612337627,1612337629,1612337643,18,12,16
mDiffFit,ID0000116,20014.000.000,192.168.1.164,1612339480,1612339594,1612339631,1612339641,1612339641,1612339644,1612339655,114,47,14
mDiffFit,ID0000336,19838.000.000,192.168.1.165,1612338421,1612338457,1612338465,1612338481,1612338481,1612338482,1612338494,36,24,13
mDiffFit,ID0000234,19733.000.000,192.168.1.165,1612337756,1612337802,1612337816,1612337818,1612337818,1612337821,1612337831,46,16,13
mDiffFit,ID0000022,19925.000.000,192.168.1.167,1612338919,1612338959,1612338974,1612338993,1612338993,1612338994,1612339005,40,34,12
mBackground,ID0000462,19950.000.000,192.168.1.167,1612339076,1612339089,1612339131,1612339141,1612339141,1612339142,1612339154,13,52,13
mDiffFit,ID0000379,19802.000.000,192.168.1.161,1612338215,1612338232,1612338236,1612338249,1612338249,1612338250,1612338263,17,17,14
mDiffFit,ID0000407,19856.000.000,192.168.1.165,1612338503,1612338573,1612338580,1612338585,1612338585,1612338587,1612338599,70,12,14
mDiffFit,ID0000196,19666.000.000,192.168.1.164,1612337365,1612337431,1612337441,1612337453,1612337453,1612337454,1612337465,66,22,12
mDiffFit,ID0000448,19883.000.000,192.168.1.164,1612338653,1612338728,1612338749,1612338761,1612338761,1612338763,1612338775,75,33,14
mBackground,ID0000304,19820.000.000,192.168.1.163,1612338304,1612338354,1612338443,1612338453,1612338453,1612338455,1612338465,50,99,12
mDiffFit,ID0000268,19745.000.000,192.168.1.164,1612337839,1612337930,1612337967,1612337984,1612337984,1612337986,1612337998,91,54,14
mDiffFit,ID0000335,19860.000.000,192.168.1.165,1612338527,1612338576,1612338614,1612338627,1612338627,1612338628,1612338639,49,51,12
mDiffFit,ID0000426,19845.000.000,192.168.1.163,1612338463,1612338488,1612338522,1612338529,1612338529,1612338530,1612338544,25,41,15
clean_up_local_level,6_7,20101.000.000,192.168.1.4,1612340043,1612340044,1612340056,1612340063,1612340063,1612340063,1612340073,1,19,10
mDiffFit,ID0000437,19801.000.000,192.168.1.164,1612338206,1612338217,1612338224,1612338234,1612338234,1612338236,1612338249,11,17,15
mDiffFit,ID0000441,19877.000.000,192.168.1.163,1612338622,1612338724,1612338733,1612338746,1612338746,1612338747,1612338761,102,22,15
mDiffFit,ID0000037,19991.000.000,192.168.1.167,1612339334,1612339424,1612339437,1612339444,1612339444,1612339445,1612339457,90,20,13
mViewer,ID0000157,20124.000.000,192.168.1.163,1612340213,1612340219,1612340246,1612340247,1612340247,1612340247,1612340252,6,28,5
mDiffFit,ID0000135,19918.000.000,192.168.1.165,1612338877,1612338910,1612338915,1612338920,1612338920,1612338923,1612338932,33,10,12
mDiffFit,ID0000201,19663.000.000,192.168.1.171,1612337342,1612337403,1612337412,1612337425,1612337425,1612337427,1612337441,61,22,16
register_local,16_1,20017.000.000,192.168.1.4,1612339495,1612339499,1612339510,1612339516,1612339516,1612339517,1612339532,4,17,16
mDiffFit,ID0000273,19656.000.000,192.168.1.165,1612337300,1612337356,1612337395,1612337400,1612337400,1612337401,1612337412,56,44,12
mDiffFit,ID0000436,19871.000.000,192.168.1.163,1612338593,1612338688,1612338757,1612338761,1612338761,1612338763,1612338775,95,73,14
mDiffFit,ID0000131,19985.000.000,192.168.1.164,1612339296,1612339368,1612339402,1612339410,1612339410,1612339411,1612339423,72,42,13
register_local,25_1,20098.000.000,192.168.1.4,1612340014,1612340018,1612340027,1612340037,1612340037,1612340037,1612340044,4,19,7
mDiffFit,ID0000380,19879.000.000,192.168.1.167,1612338634,1612338694,1612338721,1612338728,1612338728,1612338730,1612338746,60,34,18
mDiffFit,ID0000274,19738.000.000,192.168.1.164,1612337788,1612337919,1612337960,1612337964,1612337964,1612337965,1612337984,131,45,20
mDiffFit,ID0000216,19679.000.000,192.168.1.164,1612337448,1612337494,1612337506,1612337517,1612337517,1612337520,1612337530,46,23,13
mDiffFit,ID0000383,19886.000.000,192.168.1.168,1612338665,1612338734,1612338743,1612338746,1612338746,1612338747,1612338761,69,12,15
mDiffFit,ID0000285,19743.000.000,192.168.1.165,1612337826,1612337943,1612337955,1612337964,1612337964,1612337965,1612337984,117,21,20
register_local,11_1,20074.000.000,192.168.1.4,1612339869,1612339872,1612339875,1612339882,1612339882,1612339882,1612339888,3,10,6
mDiffFit,ID0000110,20018.000.000,192.168.1.167,1612339497,1612339594,1612339603,1612339612,1612339612,1612339614,1612339625,97,18,13
mDiffFit,ID0000134,20053.000.000,192.168.1.168,1612339733,1612339802,1612339821,1612339824,1612339824,1612339827,1612339832,69,22,8
mProject,ID0000323,19601.000.000,192.168.1.167,1612335897,1612335913,1612337868,1612337871,1612337871,1612337872,1612337886,16,1958,15
mDiffFit,ID0000425,19870.000.000,192.168.1.164,1612338584,1612338624,1612338643,1612338654,1612338654,1612338656,1612338666,40,30,12
mDiffFit,ID0000389,19904.000.000,192.168.1.164,1612338788,1612338819,1612338839,1612338842,1612338842,1612338844,1612338859,31,23,17
mDiffFit,ID0000227,19680.000.000,192.168.1.165,1612337451,1612337477,1612337492,1612337503,1612337503,1612337504,1612337517,26,26,14
mDiffFit,ID0000057,20065.000.000,192.168.1.167,1612339793,1612339827,1612339839,1612339845,1612339845,1612339846,1612339851,34,18,6
mDiffFit,ID0000082,19973.000.000,192.168.1.167,1612339222,1612339302,1612339348,1612339354,1612339354,1612339356,1612339366,80,52,12
mDiffFit,ID0000384,19777.000.000,192.168.1.165,1612338041,1612338132,1612338143,1612338150,1612338150,1612338151,1612338168,91,18,18
mDiffFit,ID0000404,19892.000.000,192.168.1.167,1612338723,1612338777,1612338792,1612338801,1612338801,1612338803,1612338814,54,24,13
mDiffFit,ID0000077,20003.000.000,192.168.1.163,1612339408,1612339501,1612339514,1612339516,1612339516,1612339518,1612339532,93,15,16
register_local,4_0,20030.000.000,192.168.1.4,1612339579,1612339581,1612339591,1612339597,1612339597,1612339598,1612339612,2,16,15
mDiffFit,ID0000260,19757.000.000,192.168.1.161,1612337918,1612338031,1612338056,1612338058,1612338058,1612338062,1612338071,113,27,13
register_local,19_1,20026.000.000,192.168.1.4,1612339552,1612339555,1612339565,1612339571,1612339571,1612339572,1612339585,3,16,14
mBackground,ID0000149,20085.000.000,192.168.1.165,1612339911,1612339946,1612340008,1612340015,1612340015,1612340017,1612340022,35,69,7
mBackground,ID0000461,19951.000.000,192.168.1.167,1612339085,1612339101,1612339142,1612339154,1612339154,1612339155,1612339168,16,53,14
mDiffFit,ID0000212,19712.000.000,192.168.1.171,1612337640,1612337655,1612337663,1612337670,1612337670,1612337673,1612337683,15,15,13
mProject,ID0000001,19597.000.000,192.168.1.165,1612335896,1612335912,1612337981,1612337984,1612337984,1612337989,1612337998,16,2072,14
mDiffFit,ID0000106,19990.000.000,192.168.1.167,1612339326,1612339418,1612339437,1612339444,1612339444,1612339445,1612339457,92,26,13
mDiffFit,ID0000364,19825.000.000,192.168.1.165,1612338338,1612338386,1612338418,1612338426,1612338426,1612338429,1612338439,48,40,13
mBackground,ID0000458,19961.000.000,192.168.1.165,1612339139,1612339168,1612339228,1612339238,1612339238,1612339239,1612339250,29,70,12
mBackground,ID0000141,20091.000.000,192.168.1.167,1612339924,1612339976,1612340024,1612340037,1612340037,1612340037,1612340044,52,61,7
mDiffFit,ID0000064,20045.000.000,192.168.1.167,1612339682,1612339736,1612339744,1612339746,1612339746,1612339747,1612339758,54,10,12
mDiffFit,ID0000339,19781.000.000,192.168.1.168,1612338069,1612338132,1612338142,1612338150,1612338150,1612338151,1612338168,63,18,18
mBackground,ID0000301,19814.000.000,192.168.1.163,1612338273,1612338295,1612338368,1612338371,1612338371,1612338375,1612338385,22,76,14
mBgModel,ID0000452,19939.000.000,192.168.1.167,1612339013,1612339020,1612339033,1612339036,1612339036,1612339040,1612339050,7,16,14
clean_up_local_level,8_3,19788.000.000,192.168.1.4,1612338116,1612338120,1612338133,1612338137,1612338137,1612338142,1612338150,4,17,13
mDiffFit,ID0000353,19797.000.000,192.168.1.167,1612338178,1612338197,1612338201,1612338208,1612338208,1612338209,1612338222,19,11,14
mDiffFit,ID0000399,19862.000.000,192.168.1.167,1612338539,1612338570,1612338617,1612338627,1612338627,1612338629,1612338639,31,57,12
register_local,0_1,20126.000.000,192.168.1.4,1612340219,1612340226,1612340235,1612340241,1612340241,1612340242,1612340247,7,15,6
mBackground,ID0000139,20089.000.000,192.168.1.167,1612339922,1612339940,1612340006,1612340015,1612340015,1612340017,1612340022,18,75,7
mDiffFit,ID0000038,19912.000.000,192.168.1.164,1612338837,1612338882,1612338887,1612338895,1612338895,1612338897,1612338907,45,13,12
mDiffFit,ID0000263,19759.000.000,192.168.1.167,1612337923,1612338068,1612338074,1612338084,1612338084,1612338086,1612338097,145,16,13
mDiffFit,ID0000211,19742.000.000,192.168.1.161,1612337812,1612337896,1612337903,1612337911,1612337911,1612337913,1612337925,84,15,14
mDiffFit,ID0000341,19878.000.000,192.168.1.165,1612338625,1612338680,1612338694,1612338702,1612338702,1612338717,1612338728,55,22,26
mDiffFit,ID0000119,19934.000.000,192.168.1.165,1612338970,1612339007,1612339030,1612339036,1612339036,1612339039,1612339050,37,29,14
mDiffFit,ID0000213,19716.000.000,192.168.1.171,1612337664,1612337698,1612337704,1612337710,1612337710,1612337710,1612337722,34,12,12
mDiffFit,ID0000363,19842.000.000,192.168.1.164,1612338446,1612338469,1612338483,1612338494,1612338494,1612338495,1612338504,23,25,10
mDiffFit,ID0000431,19875.000.000,192.168.1.163,1612338609,1612338703,1612338713,1612338716,1612338716,1612338719,1612338728,94,13,12
mDiffFit,ID0000197,19664.000.000,192.168.1.163,1612337351,1612337425,1612337430,1612337441,1612337441,1612337442,1612337453,74,16,12
register_local,20_1,19964.000.000,192.168.1.4,1612339161,1612339165,1612339183,1612339198,1612339198,1612339198,1612339210,4,33,12
mDiffFit,ID0000402,19859.000.000,192.168.1.163,1612338524,1612338600,1612338610,1612338612,1612338612,1612338614,1612338627,76,12,15
mDiffFit,ID0000176,19685.000.000,192.168.1.171,1612337485,1612337533,1612337537,1612337545,1612337545,1612337546,1612337557,48,12,12
mProject,ID0000164,19614.000.000,192.168.1.166,1612335922,1612335935,1612337370,1612337384,1612337384,1612337385,1612337400,13,1449,16
mDiffFit,ID0000051,19965.000.000,192.168.1.165,1612339165,1612339206,1612339212,1612339224,1612339224,1612339225,1612339238,41,18,14
mBackground,ID0000307,19817.000.000,192.168.1.168,1612338291,1612338304,1612338331,1612338344,1612338344,1612338345,1612338357,13,40,13
mDiffFit,ID0000409,19834.000.000,192.168.1.172,1612338397,1612338426,1612338452,1612338453,1612338453,1612338457,1612338465,29,27,12
mProject,ID0000010,19596.000.000,192.168.1.165,1612335890,1612335911,1612337986,1612337998,1612337998,1612338000,1612338017,21,2087,19
mBackground,ID0000456,19955.000.000,192.168.1.165,1612339102,1612339125,1612339204,1612339210,1612339210,1612339212,1612339224,23,85,14
mDiffFit,ID0000239,19720.000.000,192.168.1.165,1612337676,1612337715,1612337755,1612337759,1612337759,1612337760,1612337775,39,44,16
mDiffFit,ID0000337,19830.000.000,192.168.1.161,1612338369,1612338395,1612338401,1612338414,1612338414,1612338416,1612338426,26,19,12
mDiffFit,ID0000020,19928.000.000,192.168.1.167,1612338939,1612338983,1612339024,1612339036,1612339036,1612339037,1612339050,44,53,14
mProject,ID0000329,19612.000.000,192.168.1.166,1612335922,1612335934,1612337871,1612337886,1612337886,1612337886,1612337900,12,1952,14
mDiffFit,ID0000371,19887.000.000,192.168.1.168,1612338674,1612338734,1612338745,1612338746,1612338746,1612338749,1612338761,60,12,15
clean_up_local_level,5_7,20107.000.000,192.168.1.4,1612340068,1612340069,1612340083,1612340088,1612340088,1612340088,1612340093,1,19,5
mProject,ID0000321,19609.000.000,192.168.1.168,1612335916,1612335933,1612337848,1612337858,1612337858,1612337859,1612337871,17,1925,13
mDiffFit,ID0000203,19717.000.000,192.168.1.171,1612337666,1612337698,1612337722,1612337734,1612337734,1612337735,1612337746,32,36,12
mDiffFit,ID0000367,19803.000.000,192.168.1.172,1612338217,1612338234,1612338238,1612338249,1612338249,1612338250,1612338263,17,15,14
mBackground,ID0000145,20079.000.000,192.168.1.165,1612339904,1612339908,1612339918,1612339925,1612339925,1612339925,1612339937,4,17,12
mAdd,ID0000156,20113.000.000,192.168.1.163,1612340100,1612340164,1612340196,1612340200,1612340200,1612340201,1612340207,64,36,7
clean_up_local_level,0_9,20122.000.000,192.168.1.4,1612340212,1612340212,1612340230,1612340235,1612340235,1612340236,1612340241,0,23,6
mDiffFit,ID0000348,19910.000.000,192.168.1.165,1612338826,1612338880,1612338913,1612338920,1612338920,1612338922,1612338932,54,40,12
mDiffFit,ID0000351,19832.000.000,192.168.1.165,1612338383,1612338409,1612338417,1612338426,1612338426,1612338428,1612338439,26,17,13
mDiffFit,ID0000041,20008.000.000,192.168.1.167,1612339434,1612339514,1612339530,1612339532,1612339532,1612339534,1612339544,80,18,12
mDiffFit,ID0000258,19761.000.000,192.168.1.163,1612337935,1612338080,1612338088,1612338097,1612338097,1612338100,1612338109,145,17,12
stage_in_remote_local,0_0,19575.000.000,192.168.1.4,1612335794,1612335799,1612335802,1612335805,1612335805,1612335805,1612335811,5,6,6
mDiffFit,ID0000130,20005.000.000,192.168.1.164,1612339419,1612339499,1612339520,1612339532,1612339532,1612339534,1612339544,80,33,12
register_local,33_1,20141.000.000,192.168.1.4,1612340364,1612340364,1612340367,1612340369,1612340369,1612340369,1612340375,0,5,6
mProject,ID0000009,19623.000.000,192.168.1.161,1612335937,1612335952,1612337718,1612337722,1612337722,1612337723,1612337734,15,1770,12
mDiffFit,ID0000128,19999.000.000,192.168.1.164,1612339378,1612339500,1612339507,1612339516,1612339516,1612339517,1612339532,122,16,16
mDiffFit,ID0000262,19753.000.000,192.168.1.171,1612337895,1612338001,1612338014,1612338017,1612338017,1612338020,1612338031,106,16,14
mDiffFit,ID0000017,19923.000.000,192.168.1.168,1612338906,1612338937,1612338958,1612338971,1612338971,1612338973,1612338993,31,34,22
mDiffFit,ID0000200,19689.000.000,192.168.1.165,1612337510,1612337541,1612337546,1612337557,1612337557,1612337560,1612337570,31,16,13
register_local,12_1,20007.000.000,192.168.1.4,1612339430,1612339441,1612339451,1612339457,1612339457,1612339459,1612339473,11,16,16
mDiffFit,ID0000332,19783.000.000,192.168.1.167,1612338082,1612338158,1612338170,1612338180,1612338180,1612338183,1612338195,76,22,15
register_local,23_1,20064.000.000,192.168.1.4,1612339791,1612339800,1612339808,1612339811,1612339811,1612339812,1612339824,9,11,13
mDiffFit,ID0000253,19737.000.000,192.168.1.171,1612337784,1612337855,1612337882,1612337886,1612337886,1612337888,1612337900,71,31,14
mDiffFit,ID0000430,19804.000.000,192.168.1.167,1612338219,1612338235,1612338250,1612338263,1612338263,1612338265,1612338279,16,28,16
mBackground,ID0000306,19818.000.000,192.168.1.167,1612338300,1612338318,1612338363,1612338371,1612338371,1612338374,1612338385,18,53,14
mDiffFit,ID0000132,20067.000.000,192.168.1.163,1612339806,1612339847,1612339848,1612339851,1612339851,1612339851,1612339857,41,4,6
mDiffFit,ID0000093,19914.000.000,192.168.1.167,1612338852,1612338911,1612338923,1612338932,1612338932,1612338933,1612338945,59,21,13
mBackground,ID0000453,19948.000.000,192.168.1.163,1612339063,1612339089,1612339194,1612339198,1612339198,1612339199,1612339210,26,109,12
register_local,1_4,20110.000.000,192.168.1.4,1612340088,1612340088,1612340090,1612340093,1612340093,1612340093,1612340101,0,5,8
mDiffFit,ID0000219,19760.000.000,192.168.1.167,1612337933,1612338071,1612338088,1612338097,1612338097,1612338099,1612338109,138,26,12
mDiffFit,ID0000192,19675.000.000,192.168.1.163,1612337423,1612337465,1612337505,1612337517,1612337517,1612337519,1612337530,42,52,13
mDiffFit,ID0000386,19911.000.000,192.168.1.167,1612338833,1612338892,1612338910,1612338920,1612338920,1612338921,1612338932,59,28,12
mDiffFit,ID0000344,19890.000.000,192.168.1.161,1612338710,1612338744,1612338748,1612338761,1612338761,1612338762,1612338775,34,17,14
mDiffFit,ID0000347,19793.000.000,192.168.1.172,1612338147,1612338168,1612338173,1612338180,1612338180,1612338185,1612338195,21,12,15
mDiffFit,ID0000434,19888.000.000,192.168.1.167,1612338681,1612338750,1612338803,1612338814,1612338814,1612338816,1612338827,69,64,13
mDiffFit,ID0000029,19921.000.000,192.168.1.163,1612338894,1612338974,1612338984,1612338993,1612338993,1612338995,1612339005,80,19,12
mDiffFit,ID0000256,19723.000.000,192.168.1.163,1612337692,1612337789,1612337805,1612337818,1612337818,1612337820,1612337831,97,29,13
mDiffFit,ID0000209,19707.000.000,192.168.1.171,1612337618,1612337632,1612337638,1612337643,1612337643,1612337646,1612337658,14,11,15
mDiffFit,ID0000191,19661.000.000,192.168.1.172,1612337327,1612337376,1612337397,1612337400,1612337400,1612337403,1612337412,49,24,12
mDiffFit,ID0000113,19833.000.000,192.168.1.167,1612338393,1612338420,1612338439,1612338453,1612338453,1612338454,1612338465,27,33,12
mDiffFit,ID0000241,19702.000.000,192.168.1.164,1612337591,1612337608,1612337627,1612337643,1612337643,1612337644,1612337658,17,35,15
mDiffFit,ID0000124,20016.000.000,192.168.1.165,1612339485,1612339595,1612339647,1612339655,1612339655,1612339657,1612339669,110,60,14
clean_up_local_level,2_7,19979.000.000,192.168.1.4,1612339256,1612339262,1612339274,1612339275,1612339275,1612339276,1612339289,6,13,14
stage_in_remote_local,0_4,19580.000.000,192.168.1.4,1612335800,1612335804,1612335807,1612335811,1612335811,1612335811,1612335818,4,7,7
mViewer,ID0000471,20069.000.000,192.168.1.165,1612339818,1612339835,1612339861,1612339863,1612339863,1612339864,1612339869,17,28,6
mDiffFit,ID0000450,19891.000.000,192.168.1.163,1612338714,1612338781,1612338868,1612338871,1612338871,1612338872,1612338882,67,90,11
clean_up_local_level,5_3,19755.000.000,192.168.1.4,1612337905,1612337908,1612337922,1612337925,1612337925,1612337926,1612337937,3,17,12
stage_in_remote_local,1_1,19582.000.000,192.168.1.4,1612335800,1612335804,1612335807,1612335811,1612335811,1612335811,1612335818,4,7,7
register_local,3_1,20131.000.000,192.168.1.4,1612340289,1612340290,1612340292,1612340295,1612340295,1612340295,1612340300,1,5,5
mDiffFit,ID0000133,19982.000.000,192.168.1.165,1612339272,1612339363,1612339377,1612339381,1612339381,1612339384,1612339396,91,18,15
mDiffFit,ID0000215,19709.000.000,192.168.1.165,1612337624,1612337639,1612337643,1612337658,1612337658,1612337658,1612337670,15,19,12
register_local,0_0,20143.000.000,192.168.1.4,1612340385,1612340386,1612340388,1612340391,1612340391,1612340391,1612340396,1,5,5
