timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1646170849, ,3.5,3.4000000954,3.5,3.5999999046,3.4000000954,3.5,0,0,3.5,3.2000000477,3.5999999046,3.5,3.2999999523,3.5
1646170850, ,3.5,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046
1646170851, ,3.5,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046
1646170852, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046
1646170853, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,0,0,3.4000000954,3.4000000954,3.5999999046,3.2000000477,3.0999999046,3.7000000477
1646170854, ,3.5999999046,3.5999999046,3.4000000954,3.5999999046,3.5,3.5,0,0,3.4000000954,3.4000000954,3.5999999046,3.2000000477,3.0999999046,3.7000000477
1646170855, ,3.5999999046,3.5999999046,3.4000000954,3.5999999046,3.5,3.4000000954,0,0,3.2000000477,3.2000000477,3.2999999523,3.5,3.0999999046,3.7000000477
1646170856, ,3.5999999046,3.5999999046,3.4000000954,3.5999999046,3.5,3.4000000954,0,0,3.2000000477,3.2000000477,3.2999999523,3.5,3.0999999046,3.7000000477
1646170857, ,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.2000000477,3.2000000477,3.2999999523,3.5,2.9000000954,3.5
1646170858, ,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.2000000477,3.2000000477,3.2999999523,3.5,2.9000000954,3.5
1646170859, ,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.2999999523,3.2999999523,3.5999999046,3,3.5
1646170860, ,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.2999999523,3.2999999523,3.5999999046,3,3.5
1646170861, ,3.5,3.5,3.4000000954,3.2999999523,3.9000000954,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646170862, ,3.5,3.5,3.4000000954,3.2999999523,3.9000000954,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646170863, ,3.5,3.5,3.4000000954,3.2999999523,3.9000000954,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646170864, ,3.4000000954,3.5,3.4000000954,3.5,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1646170865, ,3.4000000954,3.5,3.4000000954,3.5,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.5,3.2000000477,3.5
1646170866, ,3.5,3.5,3.5,3.5,3.2999999523,3.2999999523,0,0,3.2000000477,3.2999999523,3.4000000954,3.5,3.2000000477,3.5
1646170867, ,3.5,3.5,3.5,3.5,3.2999999523,3.2999999523,0,0,3.2000000477,3.2000000477,3.7999999523,3.4000000954,3.2999999523,3.7000000477
1646170868, ,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.2999999523,0,0,3.2000000477,3.2000000477,3.7999999523,3.4000000954,3.2999999523,3.7000000477
1646170869, ,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.2000000477,3.7999999523,3.4000000954,3.2999999523,3.7000000477
1646170870, ,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.2000000477,3.5,3.2999999523,3.2000000477,3.4000000954
1646170871, ,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.2000000477,3.5,3.2999999523,3.2000000477,3.4000000954
1646170872, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.5999999046,0,0,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.4000000954
1646170873, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.5999999046,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5
1646170874, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.5999999046,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5
1646170875, ,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.5999999046,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5
1646170876, ,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2000000477,3.5999999046
1646170877, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.2999999523,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2000000477,3.5999999046
1646170878, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.2999999523,3.4000000954,0,0,3.2999999523,3.2000000477,3.5,3.5,3.2999999523,3.4000000954
1646170879, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.2999999523,3.4000000954,0,0,3.2999999523,3.2000000477,3.5,3.5,3.2999999523,3.4000000954
1646170880, ,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,0,0,3.2999999523,3.2000000477,3.5,3.5,3.2999999523,3.4000000954
