Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
1645612663,0,20,3.2999999523,3.4000000954,3.0999999046,3.2999999523,3.4000000954,3.5
1645612664,1,20,3.2999999523,3.5,3.2000000477,3.2999999523,3.2999999523,3.4000000954
1645612665,2,20,3.2999999523,3.5,3.2000000477,3.2999999523,3.2999999523,3.4000000954
1645612666,3,20.0999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954
1645612667,4,20.0999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954
1645612668,5,20.0999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954
1645612669,6,20.1000001431,3.5,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.4000000954
1645612670,7,20.4000000954,3.5,3.2999999523,3.2000000477,3.4000000954,3.5,3.5
1645612671,8,20.4000000954,3.5,3.2999999523,3.2000000477,3.4000000954,3.5,3.5
1645612672,9,21.3000001908,3.5,3.5,4,3.4000000954,3.5,3.4000000954
1645612673,10,21.3000001908,3.5,3.5,4,3.4000000954,3.5,3.4000000954
1645612674,11,21.3000001908,3.5,3.5,4,3.4000000954,3.5,3.4000000954
1645612675,12,20.3000001908,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954
1645612676,13,20.3000001908,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954
1645612677,14,20.3000001908,3.4000000954,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954
1645612678,15,20,3.4000000954,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954
1645612679,16,20,3.4000000954,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954
1645612680,17,20,3.4000000954,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954
1645612681,18,20.4000003339,3.5,3.4000000954,3,3.7000000477,3.4000000954,3.4000000954
1645612682,19,20.4000003339,3.5,3.4000000954,3,3.7000000477,3.4000000954,3.4000000954
1645612683,20,20.2000002862,3.2999999523,3.4000000954,3,3.7000000477,3.4000000954,3.4000000954
1645612684,21,20.1000001431,3.2999999523,3.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645612685,22,20.1000001431,3.2999999523,3.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645612686,23,20.1000001431,3.2999999523,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612687,24,20.1000001431,3.2999999523,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612688,25,20.1000001431,3.2999999523,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612689,26,19.7000000477,3.2999999523,3.2000000477,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1645612690,27,19.7000000477,3.2999999523,3.2000000477,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1645612691,28,19.7000000477,3.2999999523,3.2000000477,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1645612692,29,20.1000001431,3.2999999523,3.4000000954,3.0999999046,3.5,3.4000000954,3.4000000954
1645612693,30,20.2000000477,3.2999999523,3.4000000954,3.0999999046,3.5,3.4000000954,3.5
1645612694,31,20.2000000477,3.2999999523,3.4000000954,3.0999999046,3.5,3.4000000954,3.5
1645612695,32,20.2000000477,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645612696,33,20.2000000477,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645612697,34,20.2000000477,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645612698,35,20.0000002385,3.2000000477,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612699,36,20.0000002385,3.2000000477,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612700,37,20.0000002385,3.2000000477,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1645612701,38,20.2999999523,3.5,3.2999999523,3.0999999046,3.4000000954,3.5999999046,3.4000000954
1645612702,39,20.2999999523,3.5,3.2999999523,3.0999999046,3.4000000954,3.5999999046,3.4000000954
1645612703,40,20.2999999523,3.5,3.2999999523,3.0999999046,3.4000000954,3.5999999046,3.4000000954
1645612704,41,22.4000000954,3.4000000954,5.0999999046,3.2999999523,3.9000000954,3.2999999523,3.4000000954
1645612705,42,21.5000002385,3.2000000477,4.4000000954,3.2999999523,3.9000000954,3.2999999523,3.4000000954
1645612706,43,22.2000000478,3.2000000477,4.4000000954,3.2000000477,4.6999998093,3.2999999523,3.4000000954
1645612707,44,22.2000000478,3.2000000477,4.4000000954,3.2000000477,4.6999998093,3.2999999523,3.4000000954
1645612708,45,23.0999996662,3.5,5.0999999046,3.0999999046,4.6999998093,3.2999999523,3.4000000954
1645612709,46,23.0999996662,3.5,5.0999999046,3.0999999046,4.6999998093,3.2999999523,3.4000000954
1645612710,47,23.5999999046,3.5,5.0999999046,3.0999999046,4.4000000954,3.4000000954,4.0999999046
1645612711,48,23.5999999046,3.5,5.0999999046,3.0999999046,4.4000000954,3.4000000954,4.0999999046
1645612712,49,22.6000003816,3.4000000954,4.9000000954,3.0999999046,4.4000000954,3.4000000954,3.4000000954
1645612713,50,22.6000003816,3.4000000954,4.9000000954,3.0999999046,4.4000000954,3.4000000954,3.4000000954
1645612714,51,22.6000003816,3.4000000954,4.9000000954,3.0999999046,4.4000000954,3.4000000954,3.4000000954
