Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
mDiffFit,ID0000287,12783.000.000,192.168.1.165,1611654762,1611654778,1611654791,1611654802,1611654802,1611654804,1611654816,16,24,14
mProject,ID0000170,12460.000.000,192.168.1.164,1611650685,1611650706,1611651867,1611651869,1611651869,1611651869,1611651874,21,1163,5
clean_up_local_level,2_7,12933.000.000,192.168.1.4,1611655597,1611655600,1611655614,1611655615,1611655615,1611655615,1611655626,3,15,11
mDiffFit,ID0000276,12617.000.000,192.168.1.164,1611653646,1611653707,1611653719,1611653728,1611653728,1611653729,1611653740,61,21,12
mDiffFit,ID0000258,12585.000.000,192.168.1.163,1611653287,1611653317,1611653318,1611653320,1611653320,1611653320,1611653325,30,3,5
mDiffFit,ID0000062,12686.000.000,192.168.1.161,1611654066,1611654082,1611654091,1611654096,1611654096,1611654096,1611654101,16,14,5
mDiffFit,ID0000060,12777.000.000,192.168.1.165,1611654728,1611654756,1611654762,1611654766,1611654766,1611654768,1611654778,28,10,12
mDiffFit,ID0000293,12599.000.000,192.168.1.163,1611653506,1611653516,1611653525,1611653528,1611653528,1611653529,1611653534,10,12,6
mBackground,ID0000150,12962.000.000,192.168.1.164,1611655748,1611655800,1611655845,1611655847,1611655847,1611655848,1611655853,52,47,6
stage_in_remote_local,0_0,12430.000.000,192.168.1.4,1611650203,1611650207,1611650210,1611650215,1611650215,1611650216,1611650221,4,8,6
clean_up_local_level,5_3,12713.000.000,192.168.1.4,1611654390,1611654390,1611654401,1611654405,1611654405,1611654406,1611654417,0,15,12
register_local,6_1,12812.000.000,192.168.1.4,1611654916,1611654923,1611654930,1611654932,1611654932,1611654935,1611654946,7,9,14
mDiffFit,ID0000111,12667.000.000,192.168.1.165,1611653918,1611653985,1611653992,1611653995,1611653995,1611653997,1611654002,67,10,7
mDiffFit,ID0000184,12788.000.000,192.168.1.163,1611654787,1611654804,1611654807,1611654816,1611654816,1611654817,1611654827,17,12,11
