Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165
Overall,1611650389,1611656091,5702, 44.6460, 1.0000, 9.2430, 8.6776, 9.1268, 8.4876, 9.1110
NodeBasis,1611650389,1611656091,5702, 43.3577, 0.9711, 9.1950, 7.8395, 8.9100, 8.3022, 9.1110
