1645954397 INTERNAL *** MONITORD_STARTED ***
1645954396 INTERNAL *** DAGMAN_STARTED 3062.0 ***
1645954400 create_dir_1000-genome_0_local SUBMIT 3063.0 local - 401
1645954402 create_dir_1000-genome_0_local EXECUTE 3063.0 local - 401
1645954404 create_dir_1000-genome_0_local JOB_TERMINATED 3063.0 local - 401
1645954405 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 401
1645954405 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 3063.0 local - 401
1645954405 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 3063.0 local - 401
1645954410 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 401
1645954415 stage_in_remote_local_2_0 SUBMIT 3064.0 local - 402
1645954416 stage_in_remote_local_2_0 EXECUTE 3064.0 local - 402
1645954416 stage_in_remote_local_1_0 SUBMIT 3065.0 local - 403
1645954416 stage_in_remote_local_0_0 SUBMIT 3066.0 local - 404
1645954416 stage_in_local_local_0_0 SUBMIT 3067.0 local - 405
1645954416 stage_in_local_local_2_0 SUBMIT 3068.0 local - 406
1645954418 stage_in_remote_local_2_0 JOB_TERMINATED 3064.0 local - 402
1645954421 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 402
1645954421 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3064.0 local - 402
1645954418 stage_in_local_local_2_0 EXECUTE 3068.0 local - 406
1645954418 stage_in_local_local_0_0 EXECUTE 3067.0 local - 405
1645954418 stage_in_remote_local_0_0 EXECUTE 3066.0 local - 404
1645954418 stage_in_remote_local_1_0 EXECUTE 3065.0 local - 403
1645954420 stage_in_remote_local_1_0 JOB_TERMINATED 3065.0 local - 403
1645954421 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 403
1645954421 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3065.0 local - 403
1645954420 stage_in_local_local_0_0 JOB_TERMINATED 3067.0 local - 405
1645954421 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 405
1645954421 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3067.0 local - 405
1645954420 stage_in_remote_local_0_0 JOB_TERMINATED 3066.0 local - 404
1645954421 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 404
1645954421 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 3066.0 local - 404
1645954421 stage_in_remote_local_0_1 SUBMIT 3069.0 local - 407
1645954421 stage_in_local_local_0_1 SUBMIT 3070.0 local - 408
1645954421 stage_in_local_local_2_1 SUBMIT 3071.0 local - 409
1645954421 stage_in_remote_local_2_1 SUBMIT 3072.0 local - 410
1645954421 stage_in_local_local_0_2 SUBMIT 3073.0 local - 411
1645954421 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3064.0 local - 402
1645954426 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 402
1645954421 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3065.0 local - 403
1645954426 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 403
1645954421 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 3066.0 local - 404
1645954426 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 404
1645954421 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3067.0 local - 405
1645954426 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 405
1645954422 stage_in_local_local_2_0 JOB_TERMINATED 3068.0 local - 406
1645954426 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 406
1645954426 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3068.0 local - 406
1645954422 stage_in_local_local_0_2 EXECUTE 3073.0 local - 411
1645954422 stage_in_remote_local_2_1 EXECUTE 3072.0 local - 410
1645954422 stage_in_local_local_2_1 EXECUTE 3071.0 local - 409
1645954422 stage_in_local_local_0_1 EXECUTE 3070.0 local - 408
1645954422 stage_in_remote_local_0_1 EXECUTE 3069.0 local - 407
1645954424 stage_in_remote_local_2_1 JOB_TERMINATED 3072.0 local - 410
1645954426 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 410
1645954426 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3072.0 local - 410
1645954424 stage_in_local_local_0_2 JOB_TERMINATED 3073.0 local - 411
1645954426 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 411
1645954426 stage_in_local_local_0_2 POST_SCRIPT_STARTED 3073.0 local - 411
1645954424 stage_in_remote_local_0_1 JOB_TERMINATED 3069.0 local - 407
1645954426 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 407
1645954426 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 3069.0 local - 407
1645954425 stage_in_local_local_0_1 JOB_TERMINATED 3070.0 local - 408
1645954426 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 408
1645954426 stage_in_local_local_0_1 POST_SCRIPT_STARTED 3070.0 local - 408
1645954426 stage_in_local_local_0_2 POST_SCRIPT_TERMINATED 3073.0 local - 411
1645954431 stage_in_local_local_0_2 POST_SCRIPT_SUCCESS 0 local - 411
1645954426 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 3070.0 local - 408
1645954431 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 408
1645954426 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 3068.0 local - 406
1645954431 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 406
1645954426 stage_in_local_local_2_1 JOB_TERMINATED 3071.0 local - 409
1645954431 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 409
1645954431 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3071.0 local - 409
1645954426 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3072.0 local - 410
1645954431 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 410
1645954426 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 3069.0 local - 407
1645954431 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 407
1645954432 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3071.0 local - 409
1645954436 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 409
1645954436 individuals_ID0000037 SUBMIT 3074.0 condorpool - 412
1645954436 individuals_ID0000038 SUBMIT 3075.0 condorpool - 413
1645954436 individuals_ID0000039 SUBMIT 3076.0 condorpool - 414
1645954436 individuals_ID0000033 SUBMIT 3077.0 condorpool - 415
1645954436 individuals_ID0000034 SUBMIT 3078.0 condorpool - 416
1645954441 individuals_ID0000035 SUBMIT 3079.0 condorpool - 417
1645954441 individuals_ID0000036 SUBMIT 3080.0 condorpool - 418
1645954441 individuals_ID0000030 SUBMIT 3081.0 condorpool - 419
1645954441 individuals_ID0000031 SUBMIT 3082.0 condorpool - 420
1645954441 individuals_ID0000032 SUBMIT 3083.0 condorpool - 421
1645954446 individuals_ID0000004 SUBMIT 3084.0 condorpool - 422
1645954446 individuals_ID0000048 SUBMIT 3085.0 condorpool - 423
1645954446 individuals_ID0000005 SUBMIT 3086.0 condorpool - 424
1645954446 individuals_ID0000049 SUBMIT 3087.0 condorpool - 425
1645954446 individuals_ID0000006 SUBMIT 3088.0 condorpool - 426
1645954451 individuals_ID0000007 SUBMIT 3089.0 condorpool - 427
1645954451 individuals_ID0000044 SUBMIT 3090.0 condorpool - 428
1645954451 individuals_ID0000001 SUBMIT 3091.0 condorpool - 429
1645954451 individuals_ID0000045 SUBMIT 3092.0 condorpool - 430
1645954451 individuals_ID0000002 SUBMIT 3093.0 condorpool - 431
1645954457 individuals_ID0000046 SUBMIT 3094.0 condorpool - 432
1645954457 individuals_ID0000003 SUBMIT 3095.0 condorpool - 433
1645954457 individuals_ID0000047 SUBMIT 3096.0 condorpool - 434
1645954457 individuals_ID0000008 SUBMIT 3097.0 condorpool - 435
1645954457 individuals_ID0000009 SUBMIT 3098.0 condorpool - 436
1645954462 individuals_ID0000040 SUBMIT 3099.0 condorpool - 437
1645954462 individuals_ID0000041 SUBMIT 3100.0 condorpool - 438
1645954462 individuals_ID0000042 SUBMIT 3101.0 condorpool - 439
1645954462 individuals_ID0000043 SUBMIT 3102.0 condorpool - 440
1645954462 individuals_ID0000015 SUBMIT 3103.0 condorpool - 441
1645954467 individuals_ID0000016 SUBMIT 3104.0 condorpool - 442
1645954467 individuals_ID0000017 SUBMIT 3105.0 condorpool - 443
1645954467 individuals_ID0000018 SUBMIT 3106.0 condorpool - 444
1645954467 individuals_ID0000011 SUBMIT 3107.0 condorpool - 445
1645954467 individuals_ID0000012 SUBMIT 3108.0 condorpool - 446
1645954471 individuals_ID0000031 EXECUTE 3082.0 condorpool - 420
1645954471 individuals_ID0000032 EXECUTE 3083.0 condorpool - 421
1645954472 individuals_ID0000013 SUBMIT 3109.0 condorpool - 447
1645954472 individuals_ID0000014 SUBMIT 3110.0 condorpool - 448
1645954472 individuals_ID0000019 SUBMIT 3111.0 condorpool - 449
1645954472 individuals_ID0000002 EXECUTE 3093.0 condorpool - 431
1645954472 individuals_ID0000010 SUBMIT 3112.0 condorpool - 450
1645954472 individuals_ID0000005 EXECUTE 3086.0 condorpool - 424
1645954472 individuals_ID0000050 SUBMIT 3113.0 condorpool - 451
1645954472 individuals_ID0000006 EXECUTE 3088.0 condorpool - 426
1645954473 individuals_ID0000039 EXECUTE 3076.0 condorpool - 414
1645954474 individuals_ID0000044 EXECUTE 3090.0 condorpool - 428
1645954475 individuals_ID0000037 EXECUTE 3074.0 condorpool - 412
1645954477 individuals_ID0000026 SUBMIT 3114.0 condorpool - 452
1645954477 individuals_ID0000027 SUBMIT 3115.0 condorpool - 453
1645954478 individuals_ID0000028 SUBMIT 3116.0 condorpool - 454
1645954478 individuals_ID0000029 SUBMIT 3117.0 condorpool - 455
1645954478 individuals_ID0000022 SUBMIT 3118.0 condorpool - 456
1645954480 individuals_ID0000034 EXECUTE 3078.0 condorpool - 416
1645954483 individuals_ID0000023 SUBMIT 3119.0 condorpool - 457
1645954483 individuals_ID0000024 SUBMIT 3120.0 condorpool - 458
1645954483 individuals_ID0000025 SUBMIT 3121.0 condorpool - 459
1645954483 individuals_ID0000020 SUBMIT 3122.0 condorpool - 460
1645954483 individuals_ID0000021 SUBMIT 3123.0 condorpool - 461
1645954488 sifting_ID0000052 SUBMIT 3124.0 condorpool - 462
1645954488 individuals_ID0000001 EXECUTE 3091.0 condorpool - 429
1645954489 individuals_ID0000038 EXECUTE 3075.0 condorpool - 413
1645954493 individuals_ID0000049 EXECUTE 3087.0 condorpool - 425
1645954496 individuals_ID0000035 EXECUTE 3079.0 condorpool - 417
1645954497 individuals_ID0000045 EXECUTE 3092.0 condorpool - 430
1645954498 individuals_ID0000036 EXECUTE 3080.0 condorpool - 418
1645954498 individuals_ID0000007 EXECUTE 3089.0 condorpool - 427
1645954501 individuals_ID0000033 EXECUTE 3077.0 condorpool - 415
1645954501 individuals_ID0000004 EXECUTE 3084.0 condorpool - 422
1645954501 individuals_ID0000030 EXECUTE 3081.0 condorpool - 419
1645954502 individuals_ID0000048 EXECUTE 3085.0 condorpool - 423
1645954913 individuals_ID0000001 JOB_TERMINATED 3091.0 condorpool - 429
1645954913 individuals_ID0000001 JOB_SUCCESS 0 condorpool - 429
1645954913 individuals_ID0000001 POST_SCRIPT_STARTED 3091.0 condorpool - 429
1645954914 individuals_ID0000001 POST_SCRIPT_TERMINATED 3091.0 condorpool - 429
1645954918 individuals_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 429
1645954919 individuals_ID0000046 EXECUTE 3094.0 condorpool - 432
1645955198 individuals_ID0000006 JOB_TERMINATED 3088.0 condorpool - 426
1645955203 individuals_ID0000006 JOB_SUCCESS 0 condorpool - 426
1645955203 individuals_ID0000006 POST_SCRIPT_STARTED 3088.0 condorpool - 426
1645955200 individuals_ID0000005 JOB_TERMINATED 3086.0 condorpool - 424
1645955203 individuals_ID0000005 JOB_SUCCESS 0 condorpool - 424
1645955203 individuals_ID0000005 POST_SCRIPT_STARTED 3086.0 condorpool - 424
1645955202 individuals_ID0000007 JOB_TERMINATED 3089.0 condorpool - 427
1645955203 individuals_ID0000007 JOB_SUCCESS 0 condorpool - 427
1645955203 individuals_ID0000007 POST_SCRIPT_STARTED 3089.0 condorpool - 427
1645955203 individuals_ID0000003 EXECUTE 3095.0 condorpool - 433
1645955203 individuals_ID0000007 POST_SCRIPT_TERMINATED 3089.0 condorpool - 427
1645955208 individuals_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 427
1645955203 individuals_ID0000005 POST_SCRIPT_TERMINATED 3086.0 condorpool - 424
1645955208 individuals_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 424
1645955203 individuals_ID0000006 POST_SCRIPT_TERMINATED 3088.0 condorpool - 426
1645955208 individuals_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool - 426
1645955207 individuals_ID0000047 EXECUTE 3096.0 condorpool - 434
1645955208 individuals_ID0000008 EXECUTE 3097.0 condorpool - 435
1645955211 individuals_ID0000049 JOB_TERMINATED 3087.0 condorpool - 425
1645955213 individuals_ID0000049 JOB_SUCCESS 0 condorpool - 425
1645955213 individuals_ID0000049 POST_SCRIPT_STARTED 3087.0 condorpool - 425
1645955214 individuals_ID0000049 POST_SCRIPT_TERMINATED 3087.0 condorpool - 425
1645955218 individuals_ID0000049 POST_SCRIPT_SUCCESS 0 condorpool - 425
1645955217 individuals_ID0000009 EXECUTE 3098.0 condorpool - 436
1645955429 individuals_ID0000032 JOB_TERMINATED 3083.0 condorpool - 421
1645955433 individuals_ID0000032 JOB_SUCCESS 0 condorpool - 421
1645955433 individuals_ID0000032 POST_SCRIPT_STARTED 3083.0 condorpool - 421
1645955433 individuals_ID0000032 POST_SCRIPT_TERMINATED 3083.0 condorpool - 421
1645955438 individuals_ID0000032 POST_SCRIPT_SUCCESS 0 condorpool - 421
1645955434 individuals_ID0000040 EXECUTE 3099.0 condorpool - 437
1645955442 individuals_ID0000031 JOB_TERMINATED 3082.0 condorpool - 420
1645955443 individuals_ID0000031 JOB_SUCCESS 0 condorpool - 420
1645955443 individuals_ID0000031 POST_SCRIPT_STARTED 3082.0 condorpool - 420
1645955443 individuals_ID0000031 POST_SCRIPT_TERMINATED 3082.0 condorpool - 420
1645955448 individuals_ID0000031 POST_SCRIPT_SUCCESS 0 condorpool - 420
1645955447 individuals_ID0000041 EXECUTE 3100.0 condorpool - 438
1645955448 individuals_ID0000004 JOB_TERMINATED 3084.0 condorpool - 422
1645955453 individuals_ID0000004 JOB_SUCCESS 0 condorpool - 422
1645955453 individuals_ID0000004 POST_SCRIPT_STARTED 3084.0 condorpool - 422
1645955453 individuals_ID0000004 POST_SCRIPT_TERMINATED 3084.0 condorpool - 422
1645955458 individuals_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 422
1645955453 individuals_ID0000048 JOB_TERMINATED 3085.0 condorpool - 423
1645955458 individuals_ID0000048 JOB_SUCCESS 0 condorpool - 423
1645955458 individuals_ID0000048 POST_SCRIPT_STARTED 3085.0 condorpool - 423
1645955454 individuals_ID0000042 EXECUTE 3101.0 condorpool - 439
1645955458 individuals_ID0000048 POST_SCRIPT_TERMINATED 3085.0 condorpool - 423
1645955463 individuals_ID0000048 POST_SCRIPT_SUCCESS 0 condorpool - 423
1645955460 individuals_ID0000043 EXECUTE 3102.0 condorpool - 440
1645955493 individuals_ID0000034 JOB_TERMINATED 3078.0 condorpool - 416
1645955493 individuals_ID0000034 JOB_SUCCESS 0 condorpool - 416
1645955493 individuals_ID0000034 POST_SCRIPT_STARTED 3078.0 condorpool - 416
1645955494 individuals_ID0000034 POST_SCRIPT_TERMINATED 3078.0 condorpool - 416
1645955498 individuals_ID0000034 POST_SCRIPT_SUCCESS 0 condorpool - 416
1645955498 individuals_ID0000015 EXECUTE 3103.0 condorpool - 441
1645955499 individuals_ID0000002 JOB_TERMINATED 3093.0 condorpool - 431
1645955503 individuals_ID0000002 JOB_SUCCESS 0 condorpool - 431
1645955503 individuals_ID0000002 POST_SCRIPT_STARTED 3093.0 condorpool - 431
1645955503 individuals_ID0000044 JOB_TERMINATED 3090.0 condorpool - 428
1645955508 individuals_ID0000044 JOB_SUCCESS 0 condorpool - 428
1645955508 individuals_ID0000044 POST_SCRIPT_STARTED 3090.0 condorpool - 428
1645955503 individuals_ID0000002 POST_SCRIPT_TERMINATED 3093.0 condorpool - 431
1645955508 individuals_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 431
1645955505 individuals_ID0000016 EXECUTE 3104.0 condorpool - 442
1645955508 individuals_ID0000044 POST_SCRIPT_TERMINATED 3090.0 condorpool - 428
1645955513 individuals_ID0000044 POST_SCRIPT_SUCCESS 0 condorpool - 428
1645955508 individuals_ID0000017 EXECUTE 3105.0 condorpool - 443
1645955515 individuals_ID0000045 JOB_TERMINATED 3092.0 condorpool - 430
1645955518 individuals_ID0000045 JOB_SUCCESS 0 condorpool - 430
1645955518 individuals_ID0000045 POST_SCRIPT_STARTED 3092.0 condorpool - 430
1645955519 individuals_ID0000045 POST_SCRIPT_TERMINATED 3092.0 condorpool - 430
1645955523 individuals_ID0000045 POST_SCRIPT_SUCCESS 0 condorpool - 430
1645955522 individuals_ID0000018 EXECUTE 3106.0 condorpool - 444
1645955528 individuals_ID0000036 JOB_TERMINATED 3080.0 condorpool - 418
1645955528 individuals_ID0000036 JOB_SUCCESS 0 condorpool - 418
1645955528 individuals_ID0000036 POST_SCRIPT_STARTED 3080.0 condorpool - 418
1645955528 individuals_ID0000036 POST_SCRIPT_TERMINATED 3080.0 condorpool - 418
1645955533 individuals_ID0000036 POST_SCRIPT_SUCCESS 0 condorpool - 418
1645955529 individuals_ID0000030 JOB_TERMINATED 3081.0 condorpool - 419
1645955533 individuals_ID0000030 JOB_SUCCESS 0 condorpool - 419
1645955533 individuals_ID0000030 POST_SCRIPT_STARTED 3081.0 condorpool - 419
1645955533 individuals_ID0000030 POST_SCRIPT_TERMINATED 3081.0 condorpool - 419
1645955538 individuals_ID0000030 POST_SCRIPT_SUCCESS 0 condorpool - 419
1645955534 individuals_ID0000035 JOB_TERMINATED 3079.0 condorpool - 417
1645955538 individuals_ID0000035 JOB_SUCCESS 0 condorpool - 417
1645955538 individuals_ID0000035 POST_SCRIPT_STARTED 3079.0 condorpool - 417
1645955535 individuals_ID0000011 EXECUTE 3107.0 condorpool - 445
1645955536 individuals_ID0000012 EXECUTE 3108.0 condorpool - 446
1645955539 individuals_ID0000035 POST_SCRIPT_TERMINATED 3079.0 condorpool - 417
1645955543 individuals_ID0000035 POST_SCRIPT_SUCCESS 0 condorpool - 417
1645955542 individuals_ID0000013 EXECUTE 3109.0 condorpool - 447
1645955710 individuals_ID0000039 JOB_TERMINATED 3076.0 condorpool - 414
1645955713 individuals_ID0000039 JOB_SUCCESS 0 condorpool - 414
1645955713 individuals_ID0000039 POST_SCRIPT_STARTED 3076.0 condorpool - 414
1645955713 individuals_ID0000037 JOB_TERMINATED 3074.0 condorpool - 412
1645955718 individuals_ID0000037 JOB_SUCCESS 0 condorpool - 412
1645955718 individuals_ID0000037 POST_SCRIPT_STARTED 3074.0 condorpool - 412
1645955713 individuals_ID0000039 POST_SCRIPT_TERMINATED 3076.0 condorpool - 414
1645955718 individuals_ID0000039 POST_SCRIPT_SUCCESS 0 condorpool - 414
1645955719 individuals_ID0000037 POST_SCRIPT_TERMINATED 3074.0 condorpool - 412
1645955723 individuals_ID0000037 POST_SCRIPT_SUCCESS 0 condorpool - 412
1645955719 individuals_ID0000033 JOB_TERMINATED 3077.0 condorpool - 415
1645955723 individuals_ID0000033 JOB_SUCCESS 0 condorpool - 415
1645955723 individuals_ID0000033 POST_SCRIPT_STARTED 3077.0 condorpool - 415
1645955723 individuals_ID0000038 JOB_TERMINATED 3075.0 condorpool - 413
1645955723 individuals_ID0000038 JOB_SUCCESS 0 condorpool - 413
1645955723 individuals_ID0000038 POST_SCRIPT_STARTED 3075.0 condorpool - 413
