Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,192.168.5.113
1644897360,0,41.2000000477,3.4000000954,3.5,3.2999999523,3.5,3.5999999046,3.5,3.5,3.5999999046,3.4000000954,3,3.4000000954,3.5
1644897361,1,40.5,3.4000000954,3.5,3.2000000477,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.5999999046,2.9000000954,3.4000000954,3.5
1644897362,2,40.5999999046,3.4000000954,3.5,3.2000000477,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.5999999046,2.9000000954,3.5,3.5
1644897363,3,40.0999996661,3.2999999523,3.2000000477,3.0999999046,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.5999999046,2.9000000954,3.5,3.5
1644897364,4,39.7000000477,3.2999999523,3.2000000477,3.0999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3,3.5,3.5
1644897365,5,39.4000000954,3.2999999523,3.2000000477,3.0999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3,3.4000000954,3.2999999523
1644897366,6,40.3000006678,3.4000000954,3.5,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.2000000477,3.4000000954,3.4000000954,3,3.4000000954,3.2999999523
1644897367,7,40.7000002862,3.4000000954,3.5,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.4000000954,3.2999999523
1644897368,8,40.8000004293,3.4000000954,3.5,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.4000000954,3.4000000954
1644897369,9,40.6000003816,3.2999999523,3.4000000954,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.0999999046,3.4000000954,3.4000000954
1644897370,10,39.500000477,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5,2.9000000954,3.4000000954,3.4000000954
