nodeY,pX
node1,p1
node2,p2
node3,p3
node4,p4
node5,p5
node6,p6
node7,p9
node8,p10
node9,p11
node10,p12
node11,p13
node12,p14
nodeY,pX
node1,p1
node2,p2
node3,p3
node4,p4
node5,p5
node6,p6
node7,p9
node8,p10
node9,p11
node10,p12
node11,p13
node12,p14
