Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
Overall,1645612700,1645620146,7446, 49.6192, 1.0000, 8.7695, 8.5130, 7.8556, 8.2200, 8.1230, 8.1380
NodeBasis,1645612700,1645620146,7446, 38.7924, 0.7818, 8.7695, 8.4733, 3.0900, 8.0249, 7.5197, 2.9150
