timestamp, ,total_energy,192.168.1.161
1611573057, ,3.29999995232,3.29999995232
1611573058, ,3.29999995232,3.29999995232
1611573059, ,3.5,3.5
1611573060, ,3.5,3.5
1611573061, ,3.40000009537,3.40000009537
1611573062, ,3.40000009537,3.40000009537
1611573063, ,3.40000009537,3.40000009537
1611573064, ,3.20000004768,3.20000004768
1611573065, ,3.20000004768,3.20000004768
1611573066, ,3.20000004768,3.20000004768
1611573067, ,3.29999995232,3.29999995232
1611573068, ,3.29999995232,3.29999995232
1611573069, ,3.29999995232,3.29999995232
1611573070, ,3.29999995232,3.29999995232
1611573071, ,3.29999995232,3.29999995232
1611573072, ,3.40000009537,3.40000009537
1611573073, ,3.40000009537,3.40000009537
1611573074, ,3.40000009537,3.40000009537
1611573075, ,3.40000009537,3.40000009537
1611573076, ,3.40000009537,3.40000009537
1611573077, ,3.40000009537,3.40000009537
1611573078, ,3.20000004768,3.20000004768
1611573079, ,3.20000004768,3.20000004768
1611573080, ,3.40000009537,3.40000009537
1611573081, ,3.40000009537,3.40000009537
1611573082, ,3.40000009537,3.40000009537
1611573083, ,3.40000009537,3.40000009537
1611573084, ,3.40000009537,3.40000009537
1611573085, ,3.5,3.5
1611573086, ,3.5,3.5
1611573087, ,3.5,3.5
1611573088, ,3.40000009537,3.40000009537
1611573089, ,3.40000009537,3.40000009537
1611573090, ,3.40000009537,3.40000009537
1611573091, ,3.40000009537,3.40000009537
1611573092, ,3.29999995232,3.29999995232
1611573093, ,3.29999995232,3.29999995232
1611573094, ,3.29999995232,3.29999995232
1611573095, ,3.29999995232,3.29999995232
1611573096, ,3.29999995232,3.29999995232
1611573097, ,3.29999995232,3.29999995232
1611573098, ,3.29999995232,3.29999995232
1611573099, ,3.40000009537,3.40000009537
1611573100, ,3.40000009537,3.40000009537
1611573101, ,3.40000009537,3.40000009537
1611573102, ,3.40000009537,3.40000009537
1611573103, ,3.40000009537,3.40000009537
1611573104, ,3.40000009537,3.40000009537
1611573105, ,3.29999995232,3.29999995232
1611573106, ,3.29999995232,3.29999995232
1611573107, ,3.5,3.5
1611573108, ,3.5,3.5
1611573109, ,3.5,3.5
1611573110, ,3.5,3.5
1611573111, ,3.40000009537,3.40000009537
1611573112, ,3.40000009537,3.40000009537
1611573113, ,3.40000009537,3.40000009537
1611573114, ,3.40000009537,3.40000009537
1611573115, ,3.40000009537,3.40000009537
1611573116, ,3.40000009537,3.40000009537
1611573117, ,3.40000009537,3.40000009537
1611573118, ,3.40000009537,3.40000009537
1611573119, ,3.29999995232,3.29999995232
1611573120, ,3.29999995232,3.29999995232
1611573121, ,3.29999995232,3.29999995232
1611573122, ,3.40000009537,3.40000009537
1611573123, ,3.40000009537,3.40000009537
1611573124, ,3.29999995232,3.29999995232
1611573125, ,3.29999995232,3.29999995232
1611573126, ,3.29999995232,3.29999995232
1611573127, ,3.20000004768,3.20000004768
1611573128, ,3.20000004768,3.20000004768
1611573129, ,3.20000004768,3.20000004768
1611573130, ,3.40000009537,3.40000009537
1611573131, ,3.40000009537,3.40000009537
1611573132, ,3.40000009537,3.40000009537
1611573133, ,3.29999995232,3.29999995232
1611573134, ,3.29999995232,3.29999995232
1611573135, ,3.40000009537,3.40000009537
1611573136, ,3.40000009537,3.40000009537
1611573137, ,3.40000009537,3.40000009537
1611573138, ,3.40000009537,3.40000009537
1611573139, ,3.40000009537,3.40000009537
1611573140, ,3.29999995232,3.29999995232
1611573141, ,3.29999995232,3.29999995232
1611573142, ,3.29999995232,3.29999995232
1611573143, ,3.29999995232,3.29999995232
1611573144, ,3.29999995232,3.29999995232
1611573145, ,3.29999995232,3.29999995232
1611573146, ,3.40000009537,3.40000009537
1611573147, ,3.40000009537,3.40000009537
1611573148, ,3.40000009537,3.40000009537
1611573149, ,3.40000009537,3.40000009537
1611573150, ,3.40000009537,3.40000009537
1611573151, ,3.40000009537,3.40000009537
1611573152, ,3.40000009537,3.40000009537
1611573153, ,3.40000009537,3.40000009537
1611573154, ,3.29999995232,3.29999995232
1611573155, ,3.29999995232,3.29999995232
1611573156, ,3.29999995232,3.29999995232
1611573157, ,3.29999995232,3.29999995232
1611573158, ,3.29999995232,3.29999995232
1611573159, ,3.29999995232,3.29999995232
1611573160, ,3.40000009537,3.40000009537
1611573161, ,3.40000009537,3.40000009537
1611573162, ,3.40000009537,3.40000009537
1611573163, ,3.40000009537,3.40000009537
1611573164, ,3.40000009537,3.40000009537
1611573165, ,3.5,3.5
1611573166, ,3.5,3.5
1611573167, ,3.5,3.5
1611573168, ,3.29999995232,3.29999995232
1611573169, ,3.29999995232,3.29999995232
1611573170, ,3.29999995232,3.29999995232
1611573171, ,3.29999995232,3.29999995232
1611573172, ,3.29999995232,3.29999995232
1611573173, ,3.40000009537,3.40000009537
1611573174, ,3.40000009537,3.40000009537
1611573175, ,3.40000009537,3.40000009537
1611573176, ,3.40000009537,3.40000009537
1611573177, ,3.40000009537,3.40000009537
1611573178, ,3.29999995232,3.29999995232
1611573179, ,3.29999995232,3.29999995232
1611573180, ,3.29999995232,3.29999995232
1611573181, ,3.29999995232,3.29999995232
1611573182, ,3.29999995232,3.29999995232
1611573183, ,3.29999995232,3.29999995232
1611573184, ,3.40000009537,3.40000009537
1611573185, ,3.40000009537,3.40000009537
1611573186, ,3.40000009537,3.40000009537
1611573187, ,3.40000009537,3.40000009537
1611573188, ,3.40000009537,3.40000009537
1611573189, ,3.29999995232,3.29999995232
1611573190, ,3.29999995232,3.29999995232
1611573191, ,3.29999995232,3.29999995232
