Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161
Overall,1611573303,1611592847,19544, 36.5071, 1.0000, 36.5071
NodeBasis,1611573303,1611592847,19544, 36.5071, 1.0000, 36.5071
