1611573097 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1611573091 stage_in_remote_local_6_0 POST_SCRIPT_TERMINATED 10137.0 local - 7
1611573097 stage_in_remote_local_6_0 POST_SCRIPT_SUCCESS 0 local - 7
1611573092 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 10138.0 local - 8
1611573097 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 8
1611573096 stage_in_remote_local_1_2 EXECUTE 10147.0 local - 17
1611573096 stage_in_remote_local_4_2 EXECUTE 10146.0 local - 16
1611573096 stage_in_local_local_0_2 EXECUTE 10145.0 local - 15
1611573096 stage_in_remote_local_4_1 EXECUTE 10144.0 local - 14
1611573096 stage_in_local_local_0_1 EXECUTE 10143.0 local - 13
1611573097 stage_in_local_local_0_3 SUBMIT 10148.0 local - 18
1611573097 stage_in_remote_local_4_3 SUBMIT 10149.0 local - 19
1611573097 stage_in_local_local_0_4 SUBMIT 10150.0 local - 20
1611573098 stage_in_remote_local_1_2 JOB_TERMINATED 10147.0 local - 17
1611573103 stage_in_remote_local_1_2 JOB_SUCCESS 0 local - 17
1611573103 stage_in_remote_local_1_2 POST_SCRIPT_STARTED 10147.0 local - 17
1611573099 stage_in_remote_local_4_2 JOB_TERMINATED 10146.0 local - 16
1611573103 stage_in_remote_local_4_2 JOB_SUCCESS 0 local - 16
1611573103 stage_in_remote_local_4_2 POST_SCRIPT_STARTED 10146.0 local - 16
1611573099 stage_in_local_local_0_4 EXECUTE 10150.0 local - 20
1611573099 stage_in_remote_local_4_1 JOB_TERMINATED 10144.0 local - 14
1611573103 stage_in_remote_local_4_1 JOB_SUCCESS 0 local - 14
1611573103 stage_in_remote_local_4_1 POST_SCRIPT_STARTED 10144.0 local - 14
1611573099 stage_in_remote_local_4_3 EXECUTE 10149.0 local - 19
1611573099 stage_in_local_local_0_3 EXECUTE 10148.0 local - 18
1611573102 stage_in_remote_local_4_3 JOB_TERMINATED 10149.0 local - 19
1611573103 stage_in_remote_local_4_3 JOB_SUCCESS 0 local - 19
1611573103 stage_in_remote_local_4_3 POST_SCRIPT_STARTED 10149.0 local - 19
