Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
1644463719,0,19.9000000954,3.4000000954,3.0999999046,3.2000000477,3.5999999046,3.2000000477,3.4000000954
1644463720,1,19.9000000954,3.4000000954,3.0999999046,3.2000000477,3.5999999046,3.2000000477,3.4000000954
1644463721,2,20.2000002862,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954
1644463722,3,20.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5999999046
1644463723,4,20.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5999999046
1644463724,5,19.9000000954,3.2999999523,3.2000000477,3,3.4000000954,3.4000000954,3.5999999046
1644463725,6,19.9000000954,3.2999999523,3.2000000477,3,3.4000000954,3.4000000954,3.5999999046
1644463726,7,19.6000001431,3.2999999523,3.2000000477,3,3.4000000954,3.2000000477,3.5
1644463727,8,19.6000001431,3.2999999523,3.2000000477,3,3.4000000954,3.2000000477,3.5
1644463728,9,20.7000000477,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1644463729,10,20.7000000477,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1644463730,11,20.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1644463731,12,20.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1644463732,13,19.7000000477,3.2999999523,3.4000000954,3,3.2999999523,3.4000000954,3.2999999523
1644463733,14,19.7000000477,3.2999999523,3.4000000954,3,3.2999999523,3.4000000954,3.2999999523
1644463734,15,20.6000001431,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523
1644463735,16,20.6000001431,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523
1644463736,17,20.6000001431,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523
1644463737,18,20.8000001908,3.4000000954,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523
1644463738,19,19.7999999523,3.4000000954,3.5,3.2000000477,3.2999999523,3.0999999046,3.2999999523
