Nodes,Time (seconds),Energy (watt-hr)
1,45733,84.8
2,27033,91.6
3,22921,105.4
4,18682,110.4
5,17084,120.3
6,16921,135.5
7,15960,145.5
8,15335,155.1
9,15389,171.2
10,15439,185
11,16206,206.5
12,15207,212.3
