1611707579 INTERNAL *** MONITORD_STARTED ***
1611707574 INTERNAL *** DAGMAN_STARTED 15296.0 ***
1611707578 create_dir_montage_0_local SUBMIT 15297.0 local - 1
1611707579 create_dir_montage_0_local EXECUTE 15297.0 local - 1
1611707581 create_dir_montage_0_local JOB_TERMINATED 15297.0 local - 1
1611707584 create_dir_montage_0_local JOB_SUCCESS 0 local - 1
1611707584 create_dir_montage_0_local POST_SCRIPT_STARTED 15297.0 local - 1
1611707584 create_dir_montage_0_local POST_SCRIPT_TERMINATED 15297.0 local - 1
1611707589 create_dir_montage_0_local POST_SCRIPT_SUCCESS 0 local - 1
1611707594 stage_in_remote_local_2_0 SUBMIT 15298.0 local - 2
1611707594 stage_in_remote_local_2_0 EXECUTE 15298.0 local - 2
1611707594 stage_in_remote_local_1_0 SUBMIT 15299.0 local - 3
1611707594 stage_in_remote_local_0_0 SUBMIT 15300.0 local - 4
1611707595 stage_in_local_local_0_0 SUBMIT 15301.0 local - 5
1611707595 stage_in_remote_local_7_0 SUBMIT 15302.0 local - 6
1611707598 stage_in_remote_local_2_0 JOB_TERMINATED 15298.0 local - 2
1611707601 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1611707601 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 15298.0 local - 2
1611707599 stage_in_remote_local_0_0 EXECUTE 15300.0 local - 4
1611707599 stage_in_remote_local_1_0 EXECUTE 15299.0 local - 3
1611707599 stage_in_local_local_0_0 EXECUTE 15301.0 local - 5
1611707599 stage_in_remote_local_7_0 EXECUTE 15302.0 local - 6
1611707600 stage_in_remote_local_6_0 SUBMIT 15303.0 local - 7
1611707600 stage_in_remote_local_5_0 SUBMIT 15304.0 local - 8
1611707600 stage_in_remote_local_4_0 SUBMIT 15305.0 local - 9
1611707600 stage_in_remote_local_3_0 SUBMIT 15306.0 local - 10
1611707601 stage_in_remote_local_1_1 SUBMIT 15307.0 local - 11
1611707601 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 15298.0 local - 2
1611707606 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1611707601 stage_in_remote_local_0_0 JOB_TERMINATED 15300.0 local - 4
1611707606 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1611707606 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 15300.0 local - 4
1611707601 stage_in_remote_local_1_0 JOB_TERMINATED 15299.0 local - 3
1611707606 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1611707606 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 15299.0 local - 3
1611707602 stage_in_remote_local_7_0 JOB_TERMINATED 15302.0 local - 6
1611707606 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 6
1611707606 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 15302.0 local - 6
1611707602 stage_in_remote_local_1_1 EXECUTE 15307.0 local - 11
1611707602 stage_in_remote_local_3_0 EXECUTE 15306.0 local - 10
1611707602 stage_in_remote_local_4_0 EXECUTE 15305.0 local - 9
1611707603 stage_in_remote_local_5_0 EXECUTE 15304.0 local - 8
1611707603 stage_in_remote_local_6_0 EXECUTE 15303.0 local - 7
1611707605 stage_in_remote_local_1_1 JOB_TERMINATED 15307.0 local - 11
1611707606 stage_in_remote_local_1_1 JOB_SUCCESS 0 local - 11
1611707606 stage_in_remote_local_1_1 POST_SCRIPT_STARTED 15307.0 local - 11
1611707605 stage_in_remote_local_4_0 JOB_TERMINATED 15305.0 local - 9
1611707606 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 9
1611707606 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 15305.0 local - 9
1611707606 stage_in_remote_local_0_1 SUBMIT 15308.0 local - 12
1611707606 stage_in_remote_local_0_1 EXECUTE 15308.0 local - 12
1611707606 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 15300.0 local - 4
1611707611 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1611707606 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 15299.0 local - 3
1611707611 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1611707606 stage_in_remote_local_7_0 POST_SCRIPT_TERMINATED 15302.0 local - 6
1611707611 stage_in_remote_local_7_0 POST_SCRIPT_SUCCESS 0 local - 6
1611707606 stage_in_remote_local_1_1 POST_SCRIPT_TERMINATED 15307.0 local - 11
1611707611 stage_in_remote_local_1_1 POST_SCRIPT_SUCCESS 0 local - 11
1611707606 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 15305.0 local - 9
1611707611 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 9
1611707607 stage_in_remote_local_3_0 JOB_TERMINATED 15306.0 local - 10
1611707611 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 10
1611707611 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 15306.0 local - 10
1611707607 stage_in_remote_local_5_0 JOB_TERMINATED 15304.0 local - 8
1611707611 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 8
1611707611 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 15304.0 local - 8
1611707607 stage_in_remote_local_6_0 JOB_TERMINATED 15303.0 local - 7
1611707611 stage_in_remote_local_6_0 JOB_SUCCESS 0 local - 7
1611707611 stage_in_remote_local_6_0 POST_SCRIPT_STARTED 15303.0 local - 7
1611707609 stage_in_remote_local_0_1 JOB_TERMINATED 15308.0 local - 12
1611707611 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 12
1611707611 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 15308.0 local - 12
1611707611 stage_in_local_local_0_1 SUBMIT 15309.0 local - 13
1611707611 stage_in_remote_local_4_1 SUBMIT 15310.0 local - 14
1611707611 stage_in_local_local_0_2 SUBMIT 15311.0 local - 15
1611707611 stage_in_remote_local_4_2 SUBMIT 15312.0 local - 16
1611707611 stage_in_remote_local_1_2 SUBMIT 15313.0 local - 17
1611707612 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 15308.0 local - 12
1611707618 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 12
1611707612 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 15306.0 local - 10
1611707618 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1611707612 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 15304.0 local - 8
1611707618 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 8
1611707612 stage_in_remote_local_6_0 POST_SCRIPT_TERMINATED 15303.0 local - 7
1611707618 stage_in_remote_local_6_0 POST_SCRIPT_SUCCESS 0 local - 7
1611707616 stage_in_remote_local_1_2 EXECUTE 15313.0 local - 17
1611707616 stage_in_remote_local_4_2 EXECUTE 15312.0 local - 16
