Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
Overall,1646045978,1646052996,7018, 74.5813, 1.0000, 7.8534, 7.3418, 7.2194, 7.3743, 7.2003, 7.2999, 7.1712, 7.0809, 7.9241, 8.1163
NodeBasis,1646045978,1646052996,7018, 40.8903, 0.5483, 2.7079, 1.6063, 1.9734, 7.1731, 1.6437, 6.6761, 1.5652, 1.5429, 7.8854, 8.1163
