Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
1646045939,0,36.0999996661,3.2999999523,3.5999999046,3.5,3.5,3.5,3.5,3.5,3.5,3.5999999046,4.5999999046
1646045940,1,36.0999996661,3.2999999523,3.5999999046,3.5,3.5,3.5,3.5,3.5,3.5,3.5999999046,4.5999999046
1646045941,2,35.6999998093,3.2999999523,3.5999999046,3.5,3.5,3.5,3.5,3.5,3.2000000477,3.4000000954,4.6999998093
1646045942,3,35.6000001432,3.4000000954,3.5,3.2999999523,3.7000000477,3.4000000954,3.5,3.5,3.2000000477,3.4000000954,4.6999998093
1646045943,4,35.6000001432,3.4000000954,3.5,3.2999999523,3.7000000477,3.4000000954,3.5,3.5,3.2000000477,3.4000000954,4.6999998093
1646045944,5,34.5000002385,3.4000000954,3.5,3.2999999523,3.7000000477,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,3.5
1646045945,6,33.8000001908,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1646045946,7,33.8000001908,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1646045947,8,35,3.5,3.9000000954,3.5,3.5,3.5,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.5
1646045948,9,35.1000001431,3.5,3.9000000954,3.5,3.5,3.5,3.5999999046,3.2000000477,3.4000000954,3.5,3.5
1646045949,10,35.1000001431,3.5,3.9000000954,3.5,3.5,3.5,3.5999999046,3.2000000477,3.4000000954,3.5,3.5
1646045950,11,34.1000003816,3.4000000954,3.5999999046,3.4000000954,3.5,3.2000000477,3.4000000954,3.2000000477,3.4000000954,3.5,3.5
1646045951,12,34.1000003816,3.4000000954,3.5999999046,3.4000000954,3.5,3.2000000477,3.4000000954,3.2000000477,3.4000000954,3.5,3.5
1646045952,13,33.6000003816,3.4000000954,3.5999999046,3.4000000954,3.5,3.2000000477,3.4000000954,3.4000000954,3.2000000477,3.2999999523,3.2000000477
