Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102
1645846243,109,14.0999999046,7.0999999046,7
1645846244,110,14.0999999046,7.0999999046,7
1645846245,111,12.4000000954,7,5.4000000954
1645846246,112,12.4000000954,7,5.4000000954
1645846247,113,12.4000000954,7,5.4000000954
1645846248,114,12.4000000954,7,5.4000000954
1645846249,115,13.1000003814,6.8000001907,6.3000001907
1645846250,116,13.1000003814,6.8000001907,6.3000001907
1645846251,117,13.1000003814,6.8000001907,6.3000001907
1645846252,118,13.8000001907,6.8000001907,7
1645846253,119,13.8000001907,6.8000001907,7
1645846254,120,13.9000000953,6.8000001907,7.0999999046
1645846255,121,13.9000000953,6.8000001907,7.0999999046
1645846256,122,14,6.9000000954,7.0999999046
1645846257,123,12.5,6.9000000954,5.5999999046
1645846258,124,12.5,6.9000000954,5.5999999046
1645846259,125,12.5,6.9000000954,5.5999999046
1645846260,126,14.0999999047,7.4000000954,6.6999998093
1645846261,127,14.0999999047,7.4000000954,6.6999998093
1645846262,128,13.9000000953,7.3000001907,6.5999999046
1645846263,129,13.9000000953,7.3000001907,6.5999999046
1645846264,130,13.9000000953,7.3000001907,6.5999999046
1645846265,131,12.7000002861,7.4000000954,5.3000001907
1645846266,132,12.7000002861,7.4000000954,5.3000001907
1645846267,133,12.7000002861,7.4000000954,5.3000001907
1645846268,134,14,7.0999999046,6.9000000954
1645846269,135,14,7.0999999046,6.9000000954
1645846270,136,14,7.0999999046,6.9000000954
1645846271,137,14,7.0999999046,6.9000000954
1645846272,138,12.5999999046,7.0999999046,5.5
1645846273,139,12.5999999046,7.0999999046,5.5
1645846274,140,12.5999999046,7.0999999046,5.5
1645846275,141,12.6999998093,7.1999998093,5.5
1645846276,142,12.6999998093,7.1999998093,5.5
1645846277,143,12.9000000954,7.4000000954,5.5
1645846278,144,14,7.4000000954,6.5999999046
1645846279,145,14,7.4000000954,6.5999999046
1645846280,146,14.0999999046,7.0999999046,7
1645846281,147,14.0999999046,7.0999999046,7
1645846282,148,14.0999999046,7.0999999046,7
1645846283,149,14.0999999046,7.0999999046,7
1645846284,150,14.0999999046,7.0999999046,7
1645846285,151,14.0999999046,7.0999999046,7
1645846286,152,13.0999999047,7.4000000954,5.6999998093
1645846287,153,13.0999999047,7.4000000954,5.6999998093
1645846288,154,13.0999999047,7.4000000954,5.6999998093
1645846289,155,13.4000000954,7,6.4000000954
1645846290,156,13.4000000954,7,6.4000000954
1645846291,157,13.4000000954,7,6.4000000954
1645846292,158,13.4000000954,7,6.4000000954
1645846293,159,13.4000000954,7,6.4000000954
1645846294,160,13.4000000954,7,6.4000000954
1645846295,161,12.3000001907,6.8000001907,5.5
1645846296,162,12.3000001907,6.8000001907,5.5
1645846297,163,12.3000001907,6.8000001907,5.5
1645846298,164,13.4000000953,6.8000001907,6.5999999046
1645846299,165,13.4000000953,6.8000001907,6.5999999046
1645846300,166,12.7999997139,7.1999998093,5.5999999046
