Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.5.101,192.168.5.102
Overall,1645846172,1645856611,10439, 27.9470, 1.0000, 14.7215, 13.2255
NodeBasis,1645846172,1645856611,10439, 27.8563, 0.9968, 14.6308, 13.2255
